checkpoint,tokens,epoch,step,case,weights_hash,result_key,noise_samples,random_samples,dimension,noise_alignment,normalized_noise_alignment,average_noise_norm,average_batch_gradient_norm,mean_gradient_norm,normalized_random_alignment
epoch-001.safetensors,10202112,1,312,seen,e1f326e7c6ede4e97a60b6848c39be26b73cc4e3e57eedc6afd6aaefa0e8b366,e1f326e7c6ede4e97a60b6848c39be26b73cc4e3e57eedc6afd6aaefa0e8b366,32,32,20403520,0.0665336989727899,0.3778809083971307,0.4044458343099208,0.5078633214711712,0.30713470705537077,0.00015502969828515154
epoch-001.safetensors,10202112,1,312,unseen,e1f326e7c6ede4e97a60b6848c39be26b73cc4e3e57eedc6afd6aaefa0e8b366,e1f326e7c6ede4e97a60b6848c39be26b73cc4e3e57eedc6afd6aaefa0e8b366,32,32,20403520,0.06498260405942505,0.42005571799499564,0.3909456465569581,0.49559807951452345,0.30483916945665335,0.00014440683116147003
epoch-005.safetensors,51009536,5,1560,seen,dea914fab78869c2934d0766e8614b786c8e62dee047df4e86ad042d7b40457d,dea914fab78869c2934d0766e8614b786c8e62dee047df4e86ad042d7b40457d,32,32,20403520,0.024454603638405386,0.18717281783533704,0.28533730162252113,0.35054509350787044,0.19090335548422047,5.7692153685387e-05
epoch-005.safetensors,51009536,5,1560,unseen,dea914fab78869c2934d0766e8614b786c8e62dee047df4e86ad042d7b40457d,dea914fab78869c2934d0766e8614b786c8e62dee047df4e86ad042d7b40457d,32,32,20403520,0.008864058532577478,0.14609652844336402,0.24575820518550068,0.3113570821023132,0.18968835609447035,5.771110369873069e-05
epoch-010.safetensors,102018048,10,3120,seen,5d57500c339bfa021054c9853590a71c2ae9ccb7bc3f8b574bc1deed66e2869f,5d57500c339bfa021054c9853590a71c2ae9ccb7bc3f8b574bc1deed66e2869f,32,32,20403520,0.008152539559714324,0.1540382244876024,0.22578600726604864,0.27281068011074544,0.15504725590542043,4.8137891246935794e-05
epoch-010.safetensors,102018048,10,3120,unseen,5d57500c339bfa021054c9853590a71c2ae9ccb7bc3f8b574bc1deed66e2869f,5d57500c339bfa021054c9853590a71c2ae9ccb7bc3f8b574bc1deed66e2869f,32,32,20403520,0.00781563304021408,0.164927120227612,0.2174103317812867,0.26729022480160436,0.15741111360689583,4.818083529156668e-05
epoch-015.safetensors,153026560,15,4680,seen,fb4b4d07a24087f69eeee0e511c22f4d40cf577b2d00ee8e92356f1c1137dcf2,fb4b4d07a24087f69eeee0e511c22f4d40cf577b2d00ee8e92356f1c1137dcf2,32,32,20403520,0.01178722532645825,0.23275939545649052,0.2209353069977195,0.2597638106180511,0.13581364003319712,4.688999503741296e-05
epoch-015.safetensors,153026560,15,4680,unseen,fb4b4d07a24087f69eeee0e511c22f4d40cf577b2d00ee8e92356f1c1137dcf2,fb4b4d07a24087f69eeee0e511c22f4d40cf577b2d00ee8e92356f1c1137dcf2,32,32,20403520,0.012381198013055436,0.26603690328687013,0.21544655848456104,0.2541869142008801,0.13446809683092648,4.688023760868708e-05
epoch-020.safetensors,204036096,20,6240,seen,b2ab4dca0b6fe14bdca02c8a0f9643af6ce731dd2a09b56a509835475c041eae,b2ab4dca0b6fe14bdca02c8a0f9643af6ce731dd2a09b56a509835475c041eae,32,32,20403520,0.020037668986437433,0.3506649213734921,0.23126520742408546,0.2963769977087718,0.18735827749631884,5.2598681823506475e-05
epoch-020.safetensors,204036096,20,6240,unseen,b2ab4dca0b6fe14bdca02c8a0f9643af6ce731dd2a09b56a509835475c041eae,b2ab4dca0b6fe14bdca02c8a0f9643af6ce731dd2a09b56a509835475c041eae,32,32,20403520,0.019016575744849586,0.3961626944687854,0.2189099061851665,0.2874878681820287,0.18939513161418517,5.256965368840483e-05
