run,epoch,step,alpha,gamma,second_moment_cosine,mean_error_norm,error_rms_norm,mean_adam_step_norm,largest_coordinate_error_energy_fraction
packed-ac-full-scale-4-20m-0-0048,10,3120,0.5,1.0,0.9980508903324165,3.3506514632202204,3.3511057535210917,1.99484161709889,1.0918754299584954e-05
packed-ac-full-scale-4-20m-0-0048,15,4680,0.5,0.712521149859095,0.9821224216711464,3.176438446442764,3.1766251229660196,1.8099270981161282,0.07618439279981942
packed-ac-full-scale-4-20m-0-0048,20,6240,0.5,0.42037051757542193,0.9456557970798997,2.978680716674229,2.979632169289658,1.4527325949944239,0.31055576492392883
packed-ac-full-scale-4-20m-0-0048,24,7488,0.5,0.2353778831429299,0.7238145764470768,2.2084060237280014,2.224007098496395,0.8430638645332973,0.5410757579788779
packed-ac-full-scale-4-20m-0-0048,26,8112,0.5,0.16603274093627657,0.9639811939973724,2.6830280889970823,2.7940140698702343,0.9400379123871818,0.7447251438041598
packed-ac-full-scale-4-20m-0-0048,40,12473,0.5,0.01220992722801141,0.9110779305645716,2.1662101995565175,2.571369888526705,0.24869669924830023,0.9566187142346816
packed-ac-full-scale-4-20m-0-0048-t2,40,12473,0.1,0.01220992722801141,0.672101756295339,1.9950868084931668,1.9970980382572279,0.13898106753379064,0.9704945833535398
packed-ac-full-scale-4-20m-0-0048-t3,40,12473,0.05,0.01220992722801141,0.8529304904071161,4.402665852466641,4.407557321986705,0.24750530053150932,0.9529873008766855
packed-ac-full-scale-4-20m-0-0048-t4,40,12473,-0.25,0.01220992722801141,0.9991037614322117,2.606172441588878,2.6109583038897517,0.2472116978662359,0.116797499696526
packed-ac-full-scale-4-20m-0-0048-t5,40,12473,-0.5,0.01220992722801141,0.9992585741771233,2.4095665535064508,2.4426022247266945,0.2494678716966391,0.19006708437313374
packed-ac-full-scale-4-20m-0-0048-t6,40,12473,-1.0,0.01220992722801141,0.9990759392314535,1.2976758023857458,1.3009928128475263,0.25037674126187714,0.2847551951788559
packed-full-4-20m-0-0048,40,12473,0.0,1.0,0.9992138564185175,0.42732590910999657,0.4273894749160962,0.24965245441150807,9.082706250290182e-06
packed-ac-4-20m-0-0048,40,12473,0.0,0.01220992722801141,0.9981445847361557,11.778696525076983,11.778763827799366,0.24915611797552834,4.6168196111552345e-06
packed-ac-full-scale-4-20m-0-0048-t7,40,12473,0.025,0.11049853948361223,0.9619053844375213,2.0375188520658085,2.037537986886543,0.24978599423322193,0.41519275919334164
