run,epoch,variant,alpha,normalization,cosine_to_error,mean_drift_over_error_rms,mean_drift_norm,drift_over_estimated_mean_adam_step,reorientation_step_rms,largest_coordinate_scaled_energy_fraction
packed-ac-full-scale-4-20m-0-0048,10,local_sqrt,0.5,worker,0.6878905204493891,0.04827571278016812,0.0,0.0,0.0,0.004302555712509484
packed-ac-full-scale-4-20m-0-0048,10,shared_sqrt,0.5,worker,0.6896391232885821,0.001616694887742673,0.0,0.0,0.0,0.004275948944502147
packed-ac-full-scale-4-20m-0-0048,10,shared_sqrt,0.5,pooled,0.6896391232885821,0.0,0.0,0.0,0.0,0.004275948944502147
packed-ac-full-scale-4-20m-0-0048,15,local_sqrt,0.5,worker,0.2836022651783845,0.010798040951885773,0.00986090637963318,0.005448234014451165,1.0931144253720348,0.996701247257957
packed-ac-full-scale-4-20m-0-0048,15,shared_sqrt,0.5,worker,0.2837593352783828,0.007023352582758293,0.0064138136351149354,0.003543686174869024,1.092988815097543,0.9962707300503149
packed-ac-full-scale-4-20m-0-0048,15,shared_sqrt,0.5,pooled,0.2837593352783828,0.0,0.0,0.0,1.0929829267334161,0.9962707300503149
packed-ac-full-scale-4-20m-0-0048,20,local_sqrt,0.5,worker,0.5644131462071645,0.023844170476291823,0.041180853183342137,0.028347166798099004,1.611890859667858,0.9933104125413673
packed-ac-full-scale-4-20m-0-0048,20,shared_sqrt,0.5,worker,0.5643147296738206,0.0028966095308775182,0.00500268407068894,0.003443637244683797,1.6121147900287915,0.9915693612275576
packed-ac-full-scale-4-20m-0-0048,20,shared_sqrt,0.5,pooled,0.5643147296738206,0.0,0.0,0.0,1.6121324143050264,0.9915693612275576
packed-ac-full-scale-4-20m-0-0048,24,local_sqrt,0.5,worker,0.759445395581696,0.10680655553695181,0.1816272195161141,0.21543708271337092,1.1959731992579286,0.9885637401834417
packed-ac-full-scale-4-20m-0-0048,24,shared_sqrt,0.5,worker,0.7583154085320951,0.07733293877422612,0.13150659691214528,0.15598651827515417,1.1992387036669296,0.9790265824450821
packed-ac-full-scale-4-20m-0-0048,24,shared_sqrt,0.5,pooled,0.7583154085320951,0.0,0.0,0.0,1.2636417789089647,0.9790265824450821
packed-ac-full-scale-4-20m-0-0048,26,local_sqrt,0.5,worker,0.7136906811896573,0.15381954863471275,0.358417430708207,0.38127976115135914,1.589037263757819,0.9995796301005198
packed-ac-full-scale-4-20m-0-0048,26,shared_sqrt,0.5,worker,0.7128932036771699,0.15726547240637181,0.36644683370422937,0.38982133473069713,1.590956605837888,0.9995064886225383
packed-ac-full-scale-4-20m-0-0048,26,shared_sqrt,0.5,pooled,0.7128932036771699,0.0,0.0,0.0,1.575274242333611,0.9995064886225383
packed-ac-full-scale-4-20m-0-0048,40,local_sqrt,0.5,worker,0.9150411153604894,0.04548134718925256,0.1155214233958889,0.46450726425022487,0.43717628321638025,0.999975384322423
packed-ac-full-scale-4-20m-0-0048,40,shared_sqrt,0.5,worker,0.9152772666265183,0.023035887504786655,0.05851054725066201,0.23526869245757354,0.4299948961139154,0.9999507515512674
packed-ac-full-scale-4-20m-0-0048,40,shared_sqrt,0.5,pooled,0.9152772666265183,0.0,0.0,0.0,0.4218744744346193,0.9999507515512674
packed-ac-full-scale-4-20m-0-0048-t2,40,local_sqrt,0.5,worker,0.9870379247982531,0.049787999875018786,0.0982174652938859,0.7066967252212693,0.3177500164296074,0.9985863458341738
packed-ac-full-scale-4-20m-0-0048-t2,40,shared_sqrt,0.5,worker,0.9876635357087971,0.006027421724382985,0.011890376908336817,0.08555393277178487,0.31004644882696875,0.9956246570106153
packed-ac-full-scale-4-20m-0-0048-t2,40,shared_sqrt,0.5,pooled,0.9876635357087971,0.0,0.0,0.0,0.31253754493431757,0.9956246570106153
packed-ac-full-scale-4-20m-0-0048-t2,40,configured_local,0.1,worker,0.9936488965854013,0.01129730294900935,0.022286343357721037,0.16035524660438036,0.223075645430133,0.994302984922006
packed-ac-full-scale-4-20m-0-0048-t3,40,local_sqrt,0.5,worker,0.981595691761169,0.033576731102307154,0.1461844031966846,0.5906314041871367,0.8317364058650899,0.9957591631186975
packed-ac-full-scale-4-20m-0-0048-t3,40,shared_sqrt,0.5,worker,0.9819174580848422,0.0049999608915782725,0.02176853657120628,0.08795179951483496,0.8231140912098208,0.9920221543780972
packed-ac-full-scale-4-20m-0-0048-t3,40,shared_sqrt,0.5,pooled,0.9819174580848422,0.0,0.0,0.0,0.8267500500709459,0.9920221543780972
packed-ac-full-scale-4-20m-0-0048-t3,40,configured_local,0.05,worker,0.9962267201849692,0.004386391889593935,0.019097215825247704,0.07715881552531229,0.3764969485101083,0.9794435945680335
packed-ac-full-scale-4-20m-0-0048-t4,40,local_sqrt,0.5,worker,0.11452145336256149,0.04487391953191171,0.11573336973632439,0.4681549082638748,3.4338953564112953,0.008277961957037719
packed-ac-full-scale-4-20m-0-0048-t4,40,shared_sqrt,0.5,worker,0.13702041887062286,0.03310661726288304,0.08538457118013626,0.3453904969591573,3.389322632784156,0.008380461274611036
packed-ac-full-scale-4-20m-0-0048-t4,40,shared_sqrt,0.5,pooled,0.13702041887062286,0.0,0.0,0.0,3.389251878745634,0.008380461274611036
packed-ac-full-scale-4-20m-0-0048-t4,40,configured_local,-0.25,worker,0.9851899141187382,0.03512350459040672,0.09058628231274216,0.3664320220063276,0.4402878139069456,0.12243038164095486
packed-ac-full-scale-4-20m-0-0048-t5,40,local_sqrt,0.5,worker,0.12540215890601075,0.09937260535015222,0.23976405877923834,0.9611019533240701,3.203257205868626,0.007495112560122298
packed-ac-full-scale-4-20m-0-0048-t5,40,shared_sqrt,0.5,worker,0.17037920346577679,0.0945956348790671,0.2282382884245197,0.914900531568509,3.1180506867195468,0.007454164985276131
packed-ac-full-scale-4-20m-0-0048-t5,40,shared_sqrt,0.5,pooled,0.17037920346577679,0.0,0.0,0.0,3.1174723292400914,0.007454164985276131
packed-ac-full-scale-4-20m-0-0048-t5,40,configured_local,-0.5,worker,0.9803635827967632,0.05602734732965726,0.13518156388331193,0.5418796535358952,0.45583225232652,0.19861463004972027
packed-ac-full-scale-4-20m-0-0048-t6,40,local_sqrt,0.5,worker,0.22650075874451459,0.05092028748573835,0.06543805787654132,0.2613583735723181,1.6005111761748252,0.0070426684021429745
packed-ac-full-scale-4-20m-0-0048-t6,40,shared_sqrt,0.5,worker,0.2343405925290135,0.0405282660162059,0.05208319018126394,0.2080192829364627,1.5922253396758328,0.0072120118089070845
packed-ac-full-scale-4-20m-0-0048-t6,40,shared_sqrt,0.5,pooled,0.2343405925290135,0.0,0.0,0.0,1.5918358878260168,0.0072120118089070845
packed-ac-full-scale-4-20m-0-0048-t6,40,configured_local,-1.0,worker,0.8989908994973126,0.27653621913834103,0.3553788481261612,1.4193764418175687,0.5771745920736863,0.29644593957552284
packed-full-4-20m-0-0048,40,local_sqrt,0.5,worker,0.6890838218683972,0.03746679551329991,0.0,0.0,0.0,0.007497576996391732
packed-full-4-20m-0-0048,40,shared_sqrt,0.5,worker,0.6892564058407961,0.008774454370464563,0.0,0.0,0.0,0.007577036641104445
packed-full-4-20m-0-0048,40,shared_sqrt,0.5,pooled,0.6892564058407961,0.0,0.0,0.0,0.0,0.007577036641104445
packed-ac-4-20m-0-0048,40,local_sqrt,0.5,worker,0.7313428830982152,0.0546514904209976,0.6358671386997036,2.552083183292161,8.528792771333206,0.0011039278158144644
packed-ac-4-20m-0-0048,40,shared_sqrt,0.5,worker,0.7338534162053003,0.0013156511498348862,0.015307530055046087,0.061437504242017306,8.488752833143906,0.0011179062112894062
packed-ac-4-20m-0-0048,40,shared_sqrt,0.5,pooled,0.7338534162053003,0.0,0.0,0.0,8.48874770483661,0.0011179062112894062
packed-ac-full-scale-4-20m-0-0048-t7,40,local_sqrt,0.5,worker,0.7136564768617527,0.0911042350747554,0.1651166793040061,0.6610325763494922,1.3714294727682708,0.8020177336771013
packed-ac-full-scale-4-20m-0-0048-t7,40,shared_sqrt,0.5,worker,0.7065438645358413,0.1025609729413522,0.1858807909903256,0.7441601822429288,1.3881987265496543,0.7528669491438413
packed-ac-full-scale-4-20m-0-0048-t7,40,shared_sqrt,0.5,pooled,0.7065438645358413,0.0,0.0,0.0,1.4216688533179789,0.7528669491438413
packed-ac-full-scale-4-20m-0-0048-t7,40,configured_local,0.025,worker,0.9900008296456538,0.007678685404923226,0.01391679579374883,0.055714876394370214,0.2563198771369077,0.5251324089171627
