step,epoch,tokens,lr,mixing_step,gamma
20,1,655360,0.00015417662056089774,19,1.0
40,1,1310720,0.00030835324112179547,39,1.0
60,1,1966080,0.00046252986168269323,59,1.0
80,1,2621440,0.0006167064822435909,79,1.0
100,1,3276800,0.0007708831028044888,99,1.0
120,1,3932160,0.0009250597233653865,119,1.0
140,1,4587520,0.001079236343926284,139,1.0
160,1,5242880,0.0012334129644871819,159,1.0
180,1,5898240,0.0013875895850480795,179,1.0
200,1,6553600,0.0015417662056089775,199,1.0
220,1,7208960,0.001695942826169875,219,1.0
240,1,7864320,0.001850119446730773,239,1.0
260,1,8519680,0.002004296067291671,259,1.0
280,1,9175040,0.002158472687852568,279,1.0
300,1,9830400,0.002312649308413466,299,1.0
312,1,10207232,0.002401300865235982,311,1.0
320,2,10469376,0.0024629715134603415,319,1.0
340,2,11124736,0.002617148134021239,339,1.0
360,2,11780096,0.0027713247545821367,359,1.0
380,2,12435456,0.0029255013751430347,379,1.0
400,2,13090816,0.0030796779957039323,399,1.0
420,2,13746176,0.00323385461626483,419,1.0
440,2,14401536,0.003388031236825728,439,1.0
460,2,15056896,0.003542207857386626,459,1.0
480,2,15712256,0.003696384477947523,479,1.0
500,2,16367616,0.0038505610985084208,499,1.0
520,2,17022976,0.004004737719069319,519,1.0
540,2,17678336,0.004158914339630217,539,1.0
560,2,18333696,0.004313090960191114,559,1.0
580,2,18989056,0.004467267580752012,579,1.0
600,2,19644416,0.00462144420131291,599,1.0
620,2,20299776,0.004775620821873807,619,1.0
624,2,20414464,0.00479999999132522,623,1.0
640,3,20938752,0.004799979672620421,639,1.0
660,3,21594112,0.004799899441775485,659,1.0
680,3,22249472,0.004799758288162958,679,1.0
700,3,22904832,0.004799556215764265,699,1.0
720,3,23560192,0.004799293230279117,719,1.0
740,3,24215552,0.0047989693391253625,739,1.0
760,3,24870912,0.004798584551438772,759,1.0
780,3,25526272,0.00479813887807278,779,1.0
800,3,26181632,0.004797632331598184,799,1.0
820,3,26836992,0.0047970649263027855,819,1.0
840,3,27492352,0.004796436678190985,839,1.0
860,3,28147712,0.00479574760498334,859,1.0
880,3,28803072,0.00479499772611605,879,1.0
900,3,29458432,0.004794187062740425,899,1.0
920,3,30113792,0.004793315637722277,919,1.0
936,3,30621696,0.00479259850629289,935,1.0
940,4,30752768,0.004792407519718821,939,1.0
960,4,31408128,0.004791416164302882,959,1.0
980,4,32063488,0.004790364125401207,979,1.0
1000,4,32718848,0.004789251432687919,999,1.0
1020,4,33374208,0.004788078117547961,1019,1.0
1040,4,34029568,0.0047868442130762105,1039,1.0
1060,4,34684928,0.004785549754076543,1059,1.0
1080,4,35340288,0.004784194777060856,1079,1.0
1100,4,35995648,0.004782779320248035,1099,1.0
1120,4,36651008,0.004781303423562876,1119,1.0
1140,4,37306368,0.004779767128634963,1139,1.0
1160,4,37961728,0.004778170478797487,1159,1.0
1180,4,38617088,0.00477651351908603,1179,1.0
1200,4,39272448,0.00477479629623729,1199,1.0
1220,4,39927808,0.00477301885868777,1219,1.0
1240,4,40583168,0.004771181256572401,1239,1.0
1248,4,40828928,0.004770476655126898,1247,1.0
1260,5,41222144,0.004769331716792322,1259,1.0
1280,5,41877504,0.0047673754435508696,1279,1.0
1300,5,42532864,0.00476535916492342,1299,1.0
1320,5,43188224,0.004763282937781727,1319,1.0
1340,5,43843584,0.004761146820688474,1339,1.0
1360,5,44498944,0.004758950873895615,1359,1.0
1380,5,45154304,0.004756695159342681,1379,1.0
1400,5,45809664,0.004754379740655029,1399,1.0
1420,5,46465024,0.004752004683142048,1419,1.0
1440,5,47120384,0.004749570053795319,1439,1.0
1460,5,47775744,0.004747075921286724,1459,1.0
1480,5,48431104,0.004744522355966506,1479,1.0
1500,5,49086464,0.004741909429861292,1499,1.0
1520,5,49741824,0.004739237216672054,1519,1.0
1540,5,50397184,0.004736505791772033,1539,1.0
1560,5,51036160,0.00473378571626945,1559,1.0
1580,6,51691520,0.0047309375761722255,1579,1.0
1600,6,52346880,0.004728030458466353,1599,1.0
1620,6,53002240,0.004725064445150862,1619,1.0
1640,6,53657600,0.004722039619886007,1639,1.0
1660,6,54312960,0.004718956067990911,1659,1.0
1680,6,54968320,0.00471581387644116,1679,1.0
1700,6,55623680,0.004712613133866343,1699,1.0
1720,6,56279040,0.004709353930547562,1719,1.0
1740,6,56934400,0.004706036358414875,1739,1.0
1760,6,57589760,0.004702660511044713,1759,1.0
1780,6,58245120,0.004699226483657231,1779,1.0
1800,6,58900480,0.004695734373113631,1799,1.0
1820,6,59555840,0.004692184277913424,1819,1.0
1840,6,60211200,0.004688576298191652,1839,1.0
1860,6,60866560,0.004684910535716069,1859,1.0
1872,6,61243392,0.004682776597659106,1871,1.0
1880,7,61505536,0.004681280882057896,1879,1.0
1900,7,62160896,0.004677501303959648,1899,1.0
1920,7,62816256,0.004673664255492176,1919,1.0
1940,7,63471616,0.004669769844884415,1939,1.0
1960,7,64126976,0.00466581818198327,1959,1.0
1980,7,64782336,0.004661809378250525,1979,1.0
2000,7,65437696,0.00465774354675969,1999,1.0
2020,7,66093056,0.004653620802192823,2019,1.0
2040,7,66748416,0.004649441260837285,2039,1.0
2060,7,67403776,0.004645205040582465,2059,1.0
2080,7,68059136,0.004640912260916457,2079,1.0
2100,7,68714496,0.004636563042922682,2099,1.0
2120,7,69369856,0.004632157509276479,2119,1.0
2140,7,70025216,0.004627695784241644,2139,1.0
2160,7,70680576,0.004623177993666925,2159,1.0
2180,7,71335936,0.0046186042649824675,2179,1.0
2184,7,71450624,0.004617798120917691,2183,1.0
2200,8,71974912,0.004614091144769826,2199,1.0
2220,8,72630272,0.004609407318822841,2219,1.0
2240,8,73285632,0.004604667943185878,2239,1.0
2260,8,73940992,0.00459987315153918,2259,1.0
2280,8,74596352,0.004595023079126069,2279,1.0
2300,8,75251712,0.004590117862749134,2299,1.0
2320,8,75907072,0.004585157640766371,2319,1.0
2340,8,76562432,0.00458014255308728,2339,1.0
2360,8,77217792,0.004575072741168917,2359,1.0
2380,8,77873152,0.004569948348011913,2379,1.0
2400,8,78528512,0.004564769518156424,2399,1.0
2420,8,79183872,0.004559536397678072,2419,1.0
2440,8,79839232,0.004554249134183813,2439,1.0
2460,8,80494592,0.004548907876807776,2459,1.0
2480,8,81149952,0.004543512776207062,2479,1.0
2496,8,81657856,0.0045392946359625935,2495,1.0
2500,9,81788928,0.004538200857478365,2499,1.0
2520,9,82444288,0.004532699865018906,2519,1.0
2540,9,83099648,0.00452714548650278,2539,1.0
2560,9,83755008,0.004521537878598445,2559,1.0
2580,9,84410368,0.00451587719947576,2579,1.0
2600,9,85065728,0.0045101636088015285,2599,1.0
