epoch,step,category,level,group,numel,pair_count,cosine_valid_pairs,cosine_mean,cosine_std,cosine_min,cosine_max,relative_l2_valid_pairs,relative_l2_mean,relative_l2_std,relative_l2_min,relative_l2_max
1,312,second_moment,aggregate,all,20403520,6,6,0.99428391456604,0.001317553804256022,0.9928772449493408,0.9966416358947754,6,0.10989654064178467,0.010996291413903236,0.09113474935293198,0.12175069004297256
2,624,second_moment,aggregate,all,20403520,6,6,0.9949438571929932,0.0004901747452095151,0.9941139817237854,0.9956369996070862,6,0.10251907259225845,0.006328905001282692,0.0945516973733902,0.11432056128978729
3,936,second_moment,aggregate,all,20403520,6,6,0.9950871467590332,0.0007638703682459891,0.994170606136322,0.9962284564971924,6,0.10202725976705551,0.008519797585904598,0.09107229113578796,0.1135154515504837
4,1248,second_moment,aggregate,all,20403520,6,6,0.9962690472602844,0.0005575824179686606,0.9955980181694031,0.9970787167549133,6,0.0872340202331543,0.0070203375071287155,0.07643675804138184,0.09571495652198792
5,1560,second_moment,aggregate,all,20403520,6,6,0.9966528415679932,0.0004191736225038767,0.9961346983909607,0.9973116517066956,6,0.08287293463945389,0.004659609403461218,0.07570288330316544,0.08886922150850296
6,1872,second_moment,aggregate,all,20403520,6,6,0.9969442486763,0.0005251445691101253,0.9958752989768982,0.9974509477615356,6,0.07898486405611038,0.007036471739411354,0.07229367643594742,0.0928608849644661
7,2184,second_moment,aggregate,all,20403520,6,6,0.9974830746650696,0.0005497059319168329,0.9966253042221069,0.9981733560562134,6,0.07127431780099869,0.0083285141736269,0.060556285083293915,0.08391355723142624
8,2496,second_moment,aggregate,all,20403520,6,6,0.9970903992652893,0.001093321363441646,0.9953088164329529,0.9981967210769653,6,0.07704842835664749,0.014686992391943932,0.06282683461904526,0.09848304837942123
9,2808,second_moment,aggregate,all,20403520,6,6,0.9974406361579895,0.0005407176213338971,0.9962880611419678,0.9979158639907837,6,0.07435418665409088,0.008412355557084084,0.06820831447839737,0.09053768217563629
10,3120,second_moment,aggregate,all,20403520,6,6,0.9980509877204895,0.0003771148039959371,0.9976658821105957,0.9987329840660095,6,0.06462839990854263,0.006631172262132168,0.05196332186460495,0.07091102004051208
11,3432,second_moment,aggregate,all,20403520,6,6,0.997514545917511,0.0014909800374880433,0.9948598742485046,0.9990073442459106,6,0.06982394307851791,0.02083665505051613,0.0466475747525692,0.10537786781787872
12,3744,second_moment,aggregate,all,20403520,6,6,0.9974191784858704,0.001688956399448216,0.9953972101211548,0.9991441965103149,6,0.07148205488920212,0.027928799390792847,0.041839707642793655,0.10344993323087692
13,4056,second_moment,aggregate,all,20403520,6,6,0.9963881373405457,0.001795875490643084,0.9935926795005798,0.9985785484313965,6,0.08951663970947266,0.025295628234744072,0.05392070859670639,0.11941315233707428
14,4368,second_moment,aggregate,all,20403520,6,6,0.9921731352806091,0.0023639851715415716,0.9874697923660278,0.9947800040245056,6,0.13520170748233795,0.02411411516368389,0.10217835009098053,0.17647036910057068
15,4680,second_moment,aggregate,all,20403520,6,6,0.9821224212646484,0.012013918720185757,0.9609618186950684,0.9954174160957336,6,0.18361078202724457,0.061305347830057144,0.09774589538574219,0.2840147912502289
16,4992,second_moment,aggregate,all,20403520,6,6,0.742401659488678,0.11024665832519531,0.6142361164093018,0.9512602090835571,6,0.9047770500183105,0.24310660362243652,0.5387922525405884,1.257978916168213
17,5304,second_moment,aggregate,all,20403520,6,6,0.9292037487030029,0.03537740185856819,0.8858411312103271,0.9882437586784363,6,0.39887598156929016,0.0852813869714737,0.27543771266937256,0.4992929697036743
18,5616,second_moment,aggregate,all,20403520,6,6,0.9362823367118835,0.03150397539138794,0.8980015516281128,0.988239049911499,6,0.37493786215782166,0.08088099956512451,0.25799456238746643,0.46812722086906433
19,5928,second_moment,aggregate,all,20403520,6,6,0.9410948157310486,0.02889905497431755,0.9060656428337097,0.9883911609649658,6,0.35943248867988586,0.07797865569591522,0.24707867205142975,0.4487447738647461
