run,topology,adaptive,alpha,p,exclude_embeddings,seed,validation_loss,perplexity,max_logged_active_loss,max_logged_active_grad_norm,final_second_moment_cosine,final_largest_coordinate_error_energy_fraction
packed-4-20m-0-0048,one_peer_exponential,False,0,,False,42,3.5958767775019402,36.447642455518036,4.06586731672287,1.1705584526062012,,
packed-ac-4-20m-0-0048,one_peer_exponential,True,0,2.0,False,42,3.6061622594259535,36.8244585688504,4.072166872024536,1.3479868173599243,0.9981445847361557,4.6168196111552345e-06
packed-ac-exclude-4-20m-0-0048,one_peer_exponential,True,0,2.0,True,42,3.6079976420458872,36.892107602035644,4.074045693874359,1.1734228134155273,,
packed-ac-exclude-full-4-20m-0-0048,complete,True,0,2.0,True,42,3.588548403921167,36.18151684045212,4.055442917346954,1.2044483423233032,,
packed-ac-full-scale-4-20m-0-0048,complete,True,0.5,2.0,False,42,3.6001727555816974,36.60455753911769,34.17893990226414,1664.3997802734375,0.9110779305645716,0.9566187142346816
packed-ac-full-scale-4-20m-0-0048-t2,complete,True,0.1,2.0,False,42,4.02640659350902,56.05910572525237,4.8462155818939205,391.9803161621094,0.672101756295339,0.9704945833535398
packed-ac-full-scale-4-20m-0-0048-t3,complete,True,0.05,2.0,False,42,3.5997269749723686,36.58824357364859,4.176383399963379,39.10816192626953,0.8529304904071161,0.9529873008766855
packed-ac-full-scale-4-20m-0-0048-t4,complete,True,-0.25,2.0,False,42,3.5831665512576385,35.98731629577378,4.057990097999573,1.4357233047485352,0.9991037614322117,0.116797499696526
packed-ac-full-scale-4-20m-0-0048-t5,complete,True,-0.5,2.0,False,42,3.5826572151682505,35.96899132400501,4.061301422119141,1.2585606575012207,0.9992585741771233,0.19006708437313374
packed-ac-full-scale-4-20m-0-0048-t6,complete,True,-1.0,2.0,False,42,3.5896805300589465,36.22250207722301,4.058431601524353,1.2964926958084106,0.9990759392314535,0.2847551951788559
packed-ac-full-scale-4-20m-0-0048-t7,complete,True,0.025,1.0,False,42,3.5948785214810144,36.41127653125962,4.054227662086487,1.4745886325836182,0.9619053844375213,0.41519275919334164
packed-full-4-20m-0-0048,complete,False,0,,False,42,3.579905465684856,35.87014972673814,4.064391803741455,1.288282036781311,0.9992138564185175,9.082706250290182e-06
