epoch,tokens,case,direction,alignment,normalized_alignment,average_norm
1,10207232,seen,delta,0.07126960235070919,0.017336243639411282,2.027035208679389
1,10207232,seen,delta_div_m,72644842582512.83,8.830582941449859e-05,875360050.1709307
1,10207232,seen,delta_mul_m,1.6459075161220186e-11,0.0006482803234065283,0.00015811137863005087
1,10207232,seen,delta_div_v,1.0867945960060588e+18,4.3449094005096495e-06,452621180795.44507
1,10207232,seen,delta_mul_v,1.2706682557155285e-14,1.0835301740001813,1.0800753033364e-07
1,10207232,seen,delta_div_sqrt_v,27535682.30376034,0.000286015960043986,304859.0117453507
1,10207232,seen,delta_mul_sqrt_v,2.574094533417949e-09,0.0998214459187113,0.00016044953696737026
1,10207232,unseen,delta,0.06934343625455941,0.016867706091404408,2.027035208679389
1,10207232,unseen,delta_div_m,71349348537052.73,8.673104898798783e-05,875360050.1709307
1,10207232,unseen,delta_mul_m,1.558287373653516e-11,0.0006137690196181836,0.00015811137863005087
1,10207232,unseen,delta_div_v,1.0722587828506634e+18,4.286796495407776e-06,452621180795.44507
1,10207232,unseen,delta_mul_v,1.2676226809038696e-14,1.0809331372120472,1.0800753033364e-07
1,10207232,unseen,delta_div_sqrt_v,26875666.851200357,0.00027916031175369364,304859.0117453507
1,10207232,unseen,delta_mul_sqrt_v,2.5202412951644018e-09,0.09773305792826095,0.00016044953696737026
5,51036160,seen,delta,0.03628620681333258,0.003009743266392382,3.4707319298821133
5,51036160,seen,delta_div_m,10479197407153.96,1.221034608550053e-06,2849664996.3132043
5,51036160,seen,delta_mul_m,3.994648118294308e-11,0.0008304145545001056,0.00021860947024125284
5,51036160,seen,delta_div_v,1.5467227708741947e+18,2.6510139101583934e-06,760026669529.0254
5,51036160,seen,delta_mul_v,3.736707311373487e-13,1.4954138773872825,4.879786812548799e-07
5,51036160,seen,delta_div_sqrt_v,4204645.858010802,2.8729902640537258e-05,381781.2304629495
5,51036160,seen,delta_mul_sqrt_v,9.584010281843463e-09,0.06713130567560578,0.00037767875927791056
5,51036160,unseen,delta,0.036462368666743815,0.003024354932881172,3.4707319298821133
5,51036160,unseen,delta_div_m,8544726532286.35,9.9563033418903e-07,2849664996.3132043
5,51036160,unseen,delta_mul_m,4.0086020050023376e-11,0.0008333153132831198,0.00021860947024125284
5,51036160,unseen,delta_div_v,1.3705182146453814e+18,2.349007152132934e-06,760026669529.0254
5,51036160,unseen,delta_mul_v,3.727774688295288e-13,1.4918390808085,4.879786812548799e-07
5,51036160,unseen,delta_div_sqrt_v,4111486.2678747997,2.8093352965481882e-05,381781.2304629495
5,51036160,unseen,delta_mul_sqrt_v,9.603227230401169e-09,0.0672659110036305,0.00037767875927791056
10,102072320,seen,delta,0.027503204507357482,0.0024491028928298277,3.3506514632244575
10,102072320,seen,delta_div_m,7819948739477.568,4.223839682343804e-07,4183804825.8056154
10,102072320,seen,delta_mul_m,7.077181098392173e-11,0.002165113630334758,0.00018040189432630657
10,102072320,seen,delta_div_v,1.3666937340728074e+18,3.621391561813757e-07,1919984045407.147
10,102072320,seen,delta_mul_v,1.1431362073457564e-12,2.118927922967732,7.121938992716523e-07
10,102072320,seen,delta_div_sqrt_v,3120527.7649048036,1.7025987378975555e-05,427316.371627292
10,102072320,seen,delta_mul_sqrt_v,8.80980591455058e-09,0.0690329874406899,0.0003571677903885941
10,102072320,unseen,delta,0.0274383825549046,0.002443330633410793,3.3506514632244575
10,102072320,unseen,delta_div_m,7239798417614.863,3.9104793224686147e-07,4183804825.8056154
10,102072320,unseen,delta_mul_m,7.07751420231975e-11,0.002165215536424752,0.00018040189432630657
10,102072320,unseen,delta_div_v,1.3663724561736095e+18,3.6205402569133636e-07,1919984045407.147
10,102072320,unseen,delta_mul_v,1.13875003146293e-12,2.110797666491342,7.121938992716523e-07
10,102072320,unseen,delta_div_sqrt_v,3102203.002288017,1.6926005196299588e-05,427316.371627292
10,102072320,unseen,delta_mul_sqrt_v,8.800821203604995e-09,0.06896258391036464,0.0003571677903885941
15,153108480,seen,delta,0.023287270938678106,0.0023077388615538497,3.176438446455576
15,153108480,seen,delta_div_m,14105536364035.896,8.48501903719123e-07,4027505856.810404
15,153108480,seen,delta_mul_m,2.5728286502825847e-06,0.0784564903355614,0.005236603086237362
15,153108480,seen,delta_div_v,8.878083277024656e+19,4.215042042167802e-07,13834064095186.79
15,153108480,seen,delta_mul_v,7.328846149034597e-09,0.03448793673999594,0.0004595065559007168
15,153108480,seen,delta_div_sqrt_v,4107458.8939237506,2.731258326139392e-06,1206446.9591374837
15,153108480,seen,delta_mul_sqrt_v,1.212153617080957e-05,0.03040037870598207,0.01994774920633625
15,153108480,unseen,delta,0.023331472347247504,0.0023121191647915984,3.176438446455576
15,153108480,unseen,delta_div_m,4722823672240.042,2.8409588784178877e-07,4027505856.810404
15,153108480,unseen,delta_mul_m,2.57551075093736e-06,0.07853827899415601,0.005236603086237362
15,153108480,unseen,delta_div_v,4.5164745165159694e+19,2.144283780121771e-07,13834064095186.79
15,153108480,unseen,delta_mul_v,7.343305984851887e-09,0.03455598154442987,0.0004595065559007168
15,153108480,unseen,delta_div_sqrt_v,3920058.5333529445,2.6066462951126876e-06,1206446.9591374837
15,153108480,unseen,delta_mul_sqrt_v,1.2146510771783626e-05,0.030463014111011877,0.01994774920633625
20,204144640,seen,delta,0.017159542465168327,0.001932770974420887,2.9786807138891565
20,204144640,seen,delta_div_m,7720999520163.027,6.005307713618454e-07,3565297551.1846323
20,204144640,seen,delta_mul_m,6.404277830451751e-11,0.002572537738106482,0.00015530167368106696
20,204144640,seen,delta_div_v,1.8728457332327633e+19,5.5252227526528505e-08,16549577609435.254
20,204144640,seen,delta_mul_v,4.122380847810153e-12,1.1681765821704102e-06,0.001846903389827468
20,204144640,seen,delta_div_sqrt_v,1942728.6662530082,2.386635220946755e-06,867383.1424182663
20,204144640,seen,delta_mul_sqrt_v,1.0068861796528958e-08,3.272834064633562e-06,0.05526544373146176
20,204144640,unseen,delta,0.017286032457512195,0.001947018218265133,2.9786807138891565
20,204144640,unseen,delta_div_m,5471823950837.179,4.2559239245789874e-07,3565297551.1846323
20,204144640,unseen,delta_mul_m,6.418212895934104e-11,0.002578135321906778,0.00015530167368106696
20,204144640,unseen,delta_div_v,2.4564795549233467e+19,7.247044691108136e-08,16549577609435.254
20,204144640,unseen,delta_mul_v,4.134007898550234e-12,1.1714713889569993e-06,0.001846903389827468
20,204144640,unseen,delta_div_sqrt_v,1812490.1448183705,2.2266376629864635e-06,867383.1424182663
20,204144640,unseen,delta_mul_sqrt_v,1.0094792331008416e-08,3.28126265748482e-06,0.05526544373146176
25,255180800,seen,delta,0.013921061612307172,0.0023704870093469335,2.422362563767641
25,255180800,seen,delta_div_m,8740519773821.761,5.008503768988407e-07,3835247057.6278872
25,255180800,seen,delta_mul_m,1.6397643527851977e-06,0.0015753715330918676,0.02451214988644344
25,255180800,seen,delta_div_v,9.77691470889278e+19,7.00825305108497e-08,36820613006218.75
25,255180800,seen,delta_mul_v,3.733221610624018e-07,0.0015854713842974794,0.015079455667972934
25,255180800,seen,delta_div_sqrt_v,1196485.1268876446,6.956096410343177e-07,1301718.190946583
25,255180800,seen,delta_mul_sqrt_v,4.5935161515252344e-05,0.00160281855223498,0.16852692330785715
25,255180800,unseen,delta,0.013931079754658779,0.0023721929048428113,2.422362563767641
25,255180800,unseen,delta_div_m,8154197998499.337,4.6725289188041463e-07,3835247057.6278872
25,255180800,unseen,delta_mul_m,1.641769529242512e-06,0.001577297967158027,0.02451214988644344
25,255180800,unseen,delta_div_v,6.784693012018479e+19,4.8633793909344854e-08,36820613006218.75
25,255180800,unseen,delta_mul_v,3.7452035156248805e-07,0.0015905600100180038,0.015079455667972934
25,255180800,unseen,delta_div_sqrt_v,1119564.7640853133,6.508898657903555e-07,1301718.190946583
25,255180800,unseen,delta_mul_sqrt_v,4.608315939870652e-05,0.0016079826519239098,0.16852692330785715
30,306216960,seen,delta,0.00824729138292903,0.001067503988807951,2.6353823888285333
30,306216960,seen,delta_div_m,-90208265685954.84,-2.8898802961730687e-08,40536178147.24484
30,306216960,seen,delta_mul_m,2.185960176391648e-11,0.0032887358251839083,8.118681553645165e-05
30,306216960,seen,delta_div_v,8.139631492696101e+20,1.4537124629280754e-07,71652866464591.56
30,306216960,seen,delta_mul_v,-6.401851655241034e-08,-3.0965295983677516e-06,0.12238033351631857
30,306216960,seen,delta_div_sqrt_v,1334661.6683777408,6.094509512251258e-07,1450420.3949884404
30,306216960,seen,delta_mul_sqrt_v,-1.0202802650146087e-06,-2.8610163980962757e-06,0.5297834092975126
30,306216960,unseen,delta,0.007444751499387803,0.000963625698702786,2.6353823888285333
30,306216960,unseen,delta_div_m,-142044788183017.78,-4.550496913145872e-08,40536178147.24484
30,306216960,unseen,delta_mul_m,2.166467597686201e-11,0.0032594096084457612,8.118681553645165e-05
30,306216960,unseen,delta_div_v,8.930743967638309e+20,1.595002650995352e-07,71652866464591.56
30,306216960,unseen,delta_mul_v,-1.0453509540792118e-07,-5.056287374822612e-06,0.12238033351631857
30,306216960,unseen,delta_div_sqrt_v,1540442.219137173,7.034172015306462e-07,1450420.3949884404
30,306216960,unseen,delta_mul_sqrt_v,-1.670274026389404e-06,-4.683694806883238e-06,0.5297834092975126
35,357253120,seen,delta,0.0038603184289620995,0.0005615778777807077,2.3038956234084718
35,357253120,seen,delta_div_m,1775768295194.4448,3.8198584872739954e-13,1857871143103.513
35,357253120,seen,delta_mul_m,1.4080944847651365e-11,0.006838021467680313,4.53060762843259e-05
35,357253120,seen,delta_div_v,1.8845509225442063e+20,7.885450547619199e-08,47991112457468.19
35,357253120,seen,delta_mul_v,3.0612300641152325e-13,2.992523807681557e-10,0.02546908435103785
35,357253120,seen,delta_div_sqrt_v,340265.38262668264,3.945438752956864e-07,918887.9089038996
35,357253120,seen,delta_mul_sqrt_v,2.9900369115366905e-09,3.7241246395225905e-08,0.2338293652358502
35,357253120,unseen,delta,0.003854810053771104,0.0005607765496761216,2.3038956234084718
35,357253120,unseen,delta_div_m,-3.1479711147656403e+17,-6.77160652826849e-08,1857871143103.513
35,357253120,unseen,delta_mul_m,1.4049989140500134e-11,0.0068229886845583305,4.53060762843259e-05
35,357253120,unseen,delta_div_v,1.0632522699153408e+20,4.448923663332111e-08,47991112457468.19
35,357253120,unseen,delta_mul_v,-7.766086536617577e-11,-7.591784467875423e-08,0.02546908435103785
35,357253120,unseen,delta_div_sqrt_v,304677.31066614646,3.5327886115518935e-07,918887.9089038996
35,357253120,unseen,delta_mul_sqrt_v,-3.017068249056061e-09,-3.757792474761254e-08,0.2338293652358502
40,408068096,seen,delta,0.0022008725294325247,0.00033286319843228094,2.1662151806268928
40,408068096,seen,delta_div_m,149106423413982.47,2.3189772652062558e-11,2089677653739.8604
40,408068096,seen,delta_mul_m,1.4561136554225117e-11,0.014573955999719763,3.160172716435417e-05
40,408068096,seen,delta_div_v,1.2110301035370219e+20,5.4775694051547165e-08,46125539329840.45
40,408068096,seen,delta_mul_v,5.304334010370017e-14,1.1393180926370914e-09,0.005285382616893416
40,408068096,seen,delta_div_sqrt_v,146730.847742641,2.7526616102071816e-07,725657.1242008129
40,408068096,seen,delta_mul_sqrt_v,1.8425764164647767e-09,1.0783497860735523e-07,0.10444410469277307
40,408068096,unseen,delta,0.0021992105518505957,0.000332611838498325,2.1662151806268928
40,408068096,unseen,delta_div_m,-4464007151680412.5,-6.942645970203224e-10,2089677653739.8604
40,408068096,unseen,delta_mul_m,1.4517449758069129e-11,0.014530230742245864,3.160172716435417e-05
40,408068096,unseen,delta_div_v,2.2763795730558629e+21,1.0296215649364959e-06,46125539329840.45
40,408068096,unseen,delta_mul_v,1.8042526030100828e-14,3.875354814154247e-10,0.005285382616893416
40,408068096,unseen,delta_div_sqrt_v,504945.23930108745,9.472741395993821e-07,725657.1242008129
40,408068096,unseen,delta_mul_sqrt_v,1.8267766065526183e-09,1.0691031021984445e-07,0.10444410469277307
