epoch,step,category,level,group,numel,pair_count,cosine_valid_pairs,cosine_mean,cosine_std,cosine_min,cosine_max,relative_l2_valid_pairs,relative_l2_mean,relative_l2_std,relative_l2_min,relative_l2_max
1,312,weights,aggregate,all,20403520,6,6,0.9996073842048645,0.0001256638061022386,0.9994992613792419,0.9997866749763489,6,0.02760017104446888,0.004845412913709879,0.020651860162615776,0.03164670243859291
1,312,first_moment,aggregate,all,20403520,6,6,0.07829254120588303,0.01159142516553402,0.06361671537160873,0.0975315198302269,6,1.3583959341049194,0.008747509680688381,1.3434793949127197,1.369519829750061
1,312,second_moment,aggregate,all,20403520,6,6,0.9949209690093994,0.0006052567041479051,0.9941177368164062,0.9959943294525146,6,0.10159400850534439,0.006599185056984425,0.08993574976921082,0.11043263226747513
1,312,adam_direction,aggregate,all,20403520,6,6,0.06269736588001251,0.0071423351764678955,0.0526803657412529,0.07587923854589462,6,1.3693675994873047,0.005240956787019968,1.359611988067627,1.376461386680603
2,624,weights,aggregate,all,20403520,6,6,0.9992210268974304,0.00024813992786221206,0.9990372061729431,0.9995729327201843,6,0.03888195380568504,0.0068011172115802765,0.029230007901787758,0.04388212785124779
2,624,first_moment,aggregate,all,20403520,6,6,0.05071720480918884,0.009527423419058323,0.03671295568346977,0.06046554446220398,6,1.379583477973938,0.006672534625977278,1.3708629608154297,1.3889379501342773
2,624,second_moment,aggregate,all,20403520,6,6,0.9937770366668701,0.0007210297626443207,0.9925770163536072,0.9948889017105103,6,0.1131066083908081,0.007347217760980129,0.10172657668590546,0.1238754391670227
2,624,adam_direction,aggregate,all,20403520,6,6,0.03385746106505394,0.0031965207308530807,0.0306997112929821,0.04032037779688835,6,1.3901795148849487,0.0023752511478960514,1.3854117393493652,1.3926557302474976
3,936,weights,aggregate,all,20403520,6,6,0.9994444251060486,0.0001782410399755463,0.9992976784706116,0.999701738357544,6,0.03283117339015007,0.00577852688729763,0.024425728246569633,0.03747990354895592
3,936,first_moment,aggregate,all,20403520,6,6,0.041248250752687454,0.004567669704556465,0.032701317220926285,0.04616815969347954,6,1.3876885175704956,0.005439512897282839,1.3817946910858154,1.3952308893203735
3,936,second_moment,aggregate,all,20403520,6,6,0.9943499565124512,0.0011800100328400731,0.9929454922676086,0.9961142539978027,6,0.10600972175598145,0.011281422339379787,0.0888441801071167,0.11908829212188721
3,936,adam_direction,aggregate,all,20403520,6,6,0.02202855609357357,0.0012113143457099795,0.020680662244558334,0.02410109154880047,6,1.3990780115127563,0.0012500060256570578,1.3970947265625,1.4005718231201172
4,1248,weights,aggregate,all,20403520,6,6,0.9994802474975586,0.00017166280304081738,0.999297022819519,0.9997265338897705,6,0.03173549100756645,0.005682629998773336,0.023386012762784958,0.03749585896730423
4,1248,first_moment,aggregate,all,20403520,6,6,0.04642863944172859,0.011156969703733921,0.02411458268761635,0.05978851392865181,6,1.3833370208740234,0.009672936983406544,1.3712972402572632,1.4024308919906616
4,1248,second_moment,aggregate,all,20403520,6,6,0.9958882927894592,0.0006741317920386791,0.9950616955757141,0.9968739151954651,6,0.09285259991884232,0.007545145228505135,0.08112362772226334,0.10103541612625122
4,1248,adam_direction,aggregate,all,20403520,6,6,0.01905970834195614,0.004976499825716019,0.01158048864454031,0.02680540457367897,6,1.4034751653671265,0.00530215771868825,1.395155906677246,1.4091309309005737
5,1560,weights,aggregate,all,20403520,6,6,0.9995819926261902,0.00013577185745816678,0.9994838237762451,0.9997950196266174,6,0.02846168540418148,0.00511625362560153,0.02024581842124462,0.03213008865714073
5,1560,first_moment,aggregate,all,20403520,6,6,0.03640487790107727,0.014511718414723873,0.019737768918275833,0.058784063905477524,6,1.389506220817566,0.011024738661944866,1.372249960899353,1.4013038873672485
5,1560,second_moment,aggregate,all,20403520,6,6,0.9966304898262024,0.00026545333093963563,0.9963569045066833,0.9971765279769897,6,0.0851302444934845,0.003005589824169874,0.08103428035974503,0.09022256731987
5,1560,adam_direction,aggregate,all,20403520,6,6,0.017508363351225853,0.004318705759942532,0.011173751205205917,0.02326589822769165,6,1.4028221368789673,0.0029377893079072237,1.39928138256073,1.4062963724136353
6,1872,weights,aggregate,all,20403520,6,6,0.9996218085289001,0.00012091250391677022,0.99952632188797,0.9997989535331726,6,0.027089299634099007,0.004758812021464109,0.020050054416060448,0.030781744047999382
6,1872,first_moment,aggregate,all,20403520,6,6,0.05227721855044365,0.008423103019595146,0.04324943199753761,0.06818759441375732,6,1.3768736124038696,0.006057834252715111,1.3654744625091553,1.3833000659942627
6,1872,second_moment,aggregate,all,20403520,6,6,0.996664822101593,0.0009598055039532483,0.9956238865852356,0.9977602362632751,6,0.08431976288557053,0.010644938796758652,0.06908996403217316,0.0967170000076294
6,1872,adam_direction,aggregate,all,20403520,6,6,0.018015079200267792,0.0026866907719522715,0.014577631838619709,0.022038297727704048,6,1.4016509056091309,0.001931011793203652,1.3990859985351562,1.4042316675186157
7,2184,weights,aggregate,all,20403520,6,6,0.9996297955513,0.00011854199692606926,0.9995145797729492,0.9997951984405518,6,0.026802733540534973,0.004686329979449511,0.020237889140844345,0.03115999698638916
7,2184,first_moment,aggregate,all,20403520,6,6,0.04476650431752205,0.009789841249585152,0.03253153711557388,0.06174394115805626,6,1.3822053670883179,0.00709938071668148,1.3698711395263672,1.3910300731658936
7,2184,second_moment,aggregate,all,20403520,6,6,0.9975616335868835,0.00036166227073408663,0.997079610824585,0.9980546236038208,6,0.07024750113487244,0.005105852149426937,0.062373362481594086,0.07661474496126175
7,2184,adam_direction,aggregate,all,20403520,6,6,0.01600714586675167,0.0021530583035200834,0.012693990021944046,0.018443459644913673,6,1.403591275215149,0.0015139179304242134,1.4011125564575195,1.4053922891616821
8,2496,weights,aggregate,all,20403520,6,6,0.999664306640625,0.00010765485058072954,0.9995722770690918,0.999817430973053,6,0.025515848770737648,0.004491114988923073,0.01911334879696369,0.029248666018247604
