kind,left,right,horizon,lr,beta1,beta2,difference,pairedSD,seedDifferences
workers,awc4-cosine-h20--0.01--0.95--0.99,awc8-cosine-h20--0.01--0.95--0.99,20,0.01,0.95,0.99,0.022235185303695133,0.013741199419012506,"[0.00951983598280215,0.0203733417173817,0.03681237821090155]"
workers,awc4-cosine-h20--0.012--0.95--0.99,awc8-cosine-h20--0.012--0.95--0.99,20,0.012,0.95,0.99,0.014961932202095666,0.003154425505536237,"[0.01150161867338495,0.017677011797054387,0.01570716613584766]"
workers,awc4-cosine-h20--0.011--0.95--0.99,awc8-cosine-h20--0.011--0.95--0.99,20,0.011,0.95,0.99,0.013660030709284973,0.005864514590762766,"[0.020219131261122403,0.008922337316784823,0.011838623549947691]"
workers,awc4-cosine-h20--0.009--0.95--0.99,awc8-cosine-h20--0.009--0.95--0.99,20,0.009,0.95,0.99,0.01795100234913205,0.0056074478446851315,"[0.02075145692237612,0.011494930724690544,0.021606619400329485]"
workers,awc4-cosine-h20--0.008--0.95--0.99,awc8-cosine-h20--0.008--0.95--0.99,20,0.008,0.95,0.99,0.022504128681913056,0.005726279605079818,"[0.027726736209624736,0.023404741214635205,0.01638090862147923]"
workers,awc4-cosine-h20--0.011--0.9--0.99,awc8-cosine-h20--0.011--0.9--0.99,20,0.011,0.9,0.99,0.031112383463423487,0.004971173611971232,"[0.03636110756055766,0.030500666091514805,0.026475376738197998]"
workers,sync-cosine-h20--0.011--0.9--0.99,awc4-cosine-h20--0.011--0.9--0.99,20,0.011,0.9,0.99,0.019015616113466322,0.02407413779390695,"[-0.006116596796911011,0.02129371906016919,0.04186972607714079]"
workers,awc4-cosine-h20--0.009--0.9--0.99,awc8-cosine-h20--0.009--0.9--0.99,20,0.009,0.9,0.99,0.033981723270035825,0.004907354368591728,"[0.03964090865960079,0.030902445886421326,0.031401815264085364]"
workers,sync-cosine-h20--0.009--0.9--0.99,awc4-cosine-h20--0.009--0.9--0.99,20,0.009,0.9,0.99,0.028809905470739288,0.004294538214489711,"[0.028981757697435828,0.02443202076196549,0.03301593795281654]"
workers,awc4-cosine-h20--0.007--0.95--0.99,awc8-cosine-h20--0.007--0.95--0.99,20,0.007,0.95,0.99,0.026053306895785333,0.004236376045561158,"[0.028282714234084683,0.028709437244377245,0.02116776920889407]"
workers,awc4-cosine-h20--0.01--0.95--0.999,awc8-cosine-h20--0.01--0.95--0.999,20,0.01,0.95,0.999,0.0075447194690082915,0.0021417664978122383,"[0.010001504862421573,0.006070729787010176,0.006561923757593124]"
workers,awc4-cosine-h20--0.012--0.9--0.99,awc8-cosine-h20--0.012--0.9--0.99,20,0.012,0.9,0.99,0.019916460121906027,0.011097992641670445,"[0.00983934865975078,0.018099046985708522,0.031810984720258784]"
workers,awc4-cosine-h20--0.01--0.9--0.99,awc8-cosine-h20--0.01--0.9--0.99,20,0.01,0.9,0.99,0.028774841997575667,0.005706122800347069,"[0.031039138370595687,0.0330012905363275,0.02228409708580381]"
workers,sync-cosine-h20--0.01--0.9--0.99,awc4-cosine-h20--0.01--0.9--0.99,20,0.01,0.9,0.99,0.03550673401461394,0.00793078572172952,"[0.03881992870375761,0.02645659774217668,0.041243675597907536]"
workers,awc4-cosine-h20--0.008--0.95--0.999,awc8-cosine-h20--0.008--0.95--0.999,20,0.008,0.95,0.999,0.010572529405770137,0.006236964857765217,"[0.011335356484746484,0.016392994756802448,0.003989236975761479]"
workers,awc4-cosine-h20--0.009--0.95--0.999,awc8-cosine-h20--0.009--0.95--0.999,20,0.009,0.95,0.999,0.004901256049301435,0.004542924883442239,"[-0.00034440365234100767,0.007545468545470335,0.007502703254774978]"
workers,awc4-cosine-h20--0.006--0.95--0.99,awc8-cosine-h20--0.006--0.95--0.99,20,0.006,0.95,0.99,0.030402284576095173,0.003029393014411042,"[0.03197625674986648,0.032320696931751325,0.026909900046667712]"
workers,awc4-cosine-h20--0.007--0.95--0.999,awc8-cosine-h20--0.007--0.95--0.999,20,0.007,0.95,0.999,0.012336233071576608,0.004718030568047064,"[0.012936408644584674,0.007346832499365075,0.016725458070780075]"
workers,awc4-cosine-h20--0.01--0.9--0.999,awc8-cosine-h20--0.01--0.9--0.999,20,0.01,0.9,0.999,0.018851126318406426,0.0033578685170248053,"[0.015142197005355573,0.019726732716183193,0.021684449233680514]"
workers,sync-cosine-h20--0.01--0.9--0.999,awc4-cosine-h20--0.01--0.9--0.999,20,0.01,0.9,0.999,-0.40737730281432744,0.7053175956404704,"[-1.2217260754433665,0.009795488784896111,-0.01020132178451183]"
workers,awc4-cosine-h20--0.006--0.95--0.999,awc8-cosine-h20--0.006--0.95--0.999,20,0.006,0.95,0.999,0.023417438075060026,0.003804314843821246,"[0.02774448063410162,0.020597914928087047,0.021909918662991412]"
workers,awc4-cosine-h20--0.007--0.9--0.99,awc8-cosine-h20--0.007--0.9--0.99,20,0.007,0.9,0.99,0.03828814675418964,0.0019875828802835113,"[0.03901732053061302,0.039808159268723387,0.03603896046323252]"
workers,sync-cosine-h20--0.007--0.9--0.99,awc4-cosine-h20--0.007--0.9--0.99,20,0.007,0.9,0.99,0.03773936608519287,0.0037468888055713213,"[0.03507210183681275,0.04202315952587066,0.036122836892895194]"
workers,awc4-cosine-h20--0.011--0.95--0.999,awc8-cosine-h20--0.011--0.95--0.999,20,0.011,0.95,0.999,0.0061354426589456485,0.011038997051297924,"[0.010824432422067876,-0.006474016282443706,0.014055911837212776]"
workers,awc4-cosine-h20--0.009--0.9--0.999,awc8-cosine-h20--0.009--0.9--0.999,20,0.009,0.9,0.999,0.01663970203296043,0.004773622127892344,"[0.020068656339049973,0.011187689262029732,0.018662760497801578]"
workers,sync-cosine-h20--0.009--0.9--0.999,awc4-cosine-h20--0.009--0.9--0.999,20,0.009,0.9,0.999,0.011745878262424311,0.012165410407821679,"[0.007771034953660383,0.025401533540359456,0.0020650662932530928]"
workers,awc4-cosine-h20--0.008--0.9--0.999,awc8-cosine-h20--0.008--0.9--0.999,20,0.008,0.9,0.999,0.019237500703064143,0.005177747255111945,"[0.017878083510519005,0.014875081245599997,0.02495933735307343]"
workers,sync-cosine-h20--0.008--0.9--0.999,awc4-cosine-h20--0.008--0.9--0.999,20,0.008,0.9,0.999,0.017404773559649794,0.023434973743423716,"[0.029997700133152616,0.03185105947812028,-0.009634438932323519]"
workers,awc4-cosine-h20--0.007--0.9--0.999,awc8-cosine-h20--0.007--0.9--0.999,20,0.007,0.9,0.999,0.025613862147848554,0.003823223629646624,"[0.028623089379160138,0.026906649562620455,0.02131184750176507]"
workers,sync-cosine-h20--0.007--0.9--0.999,awc4-cosine-h20--0.007--0.9--0.999,20,0.007,0.9,0.999,0.02153660730110622,0.00564079048968438,"[0.015512375595195582,0.022403964050190073,0.026693482257933]"
workers,awc4-cosine-h20--0.008--0.9--0.99,awc8-cosine-h20--0.008--0.9--0.99,20,0.008,0.9,0.99,0.0323743211251597,0.010023570432479603,"[0.0318701695678949,0.022612339902738032,0.042640453904846165]"
workers,sync-cosine-h20--0.008--0.9--0.99,awc4-cosine-h20--0.008--0.9--0.99,20,0.008,0.9,0.99,0.040960802801746965,0.0028132004576494106,"[0.039186116135949245,0.044204406358729464,0.039491885910562186]"
workers,awc4-cosine-h20--0.006--0.9--0.99,awc8-cosine-h20--0.006--0.9--0.99,20,0.006,0.9,0.99,0.042436682436075866,0.0007142934457533777,"[0.04285685606670686,0.0428412546455359,0.04161193659598483]"
workers,sync-cosine-h20--0.006--0.9--0.99,awc4-cosine-h20--0.006--0.9--0.99,20,0.006,0.9,0.99,0.03191844866626677,0.013754126636156303,"[0.03299566393414244,0.04510229361827056,0.017657388446387312]"
workers,awc4-cosine-h20--0.011--0.9--0.999,awc8-cosine-h20--0.011--0.9--0.999,20,0.011,0.9,0.999,0.011950311409276715,0.006391801031425493,"[0.010887411618053733,0.006156589097691345,0.018806933512085067]"
workers,sync-cosine-h20--0.011--0.9--0.999,awc4-cosine-h20--0.011--0.9--0.999,20,0.011,0.9,0.999,-1.232519040206035,0.06683022574162084,"[-1.1785040599882763,-1.2117974458198986,-1.3072556148099301]"
workers,awc4-cosine-h20--0.005--0.95--0.99,awc8-cosine-h20--0.005--0.95--0.99,20,0.005,0.95,0.99,0.032053880139987445,0.003012620618691022,"[0.02998105502683135,0.035509678988554505,0.03067090640457648]"
workers,awc4-cosine-h20--0.006--0.9--0.999,awc8-cosine-h20--0.006--0.9--0.999,20,0.006,0.9,0.999,0.02705074012286775,0.0029991795415650795,"[0.030399907375585844,0.026139299312456732,0.02461301368056068]"
workers,sync-cosine-h20--0.006--0.9--0.999,awc4-cosine-h20--0.006--0.9--0.999,20,0.006,0.9,0.999,0.015240062912988961,0.02209116760308204,"[0.01524822995454711,0.03732714586304242,-0.006855187078622649]"
workers,awc4-cosine-h20--0.01--0.974--0.99,awc8-cosine-h20--0.01--0.974--0.99,20,0.01,0.974,0.99,0.021977636017884866,0.004909373272241611,"[0.016308951875346978,0.024773755120863328,0.024850201057444288]"
workers,awc4-cosine-h20--0.009--0.974--0.99,awc8-cosine-h20--0.009--0.974--0.99,20,0.009,0.974,0.99,0.01762454452139961,0.0033397623743774024,"[0.021480962305656437,0.015689693170559682,0.01570297808798271]"
workers,awc4-cosine-h20--0.005--0.95--0.999,awc8-cosine-h20--0.005--0.95--0.999,20,0.005,0.95,0.999,0.02144147323535117,0.006248094180001772,"[0.023531632805142255,0.026376536058435818,0.014416250842475442]"
