id,method,horizon,steady,training,elapsed,validationSeconds,sessionSeconds,peakGiB,jobId,measurementDate,artifacts
awc4-cosine-h20--0.005--0.9--0.99--s42,awc4,20,1602245.3273197087,1441487.0262608596,1333517.719076433,101.67462774200249,407.7602407929953,40.78472375869751,2552445,2026-09-16,"{""metrics.jsonl"":""logs/cosine/awc4/h20/lr-0.005-b1-0.9-b2-0.99/s42/metrics.jsonl"",""result.json"":""logs/cosine/awc4/h20/lr-0.005-b1-0.9-b2-0.99/s42/result.json"",""resolved.yaml"":""logs/cosine/awc4/h20/lr-0.005-b1-0.9-b2-0.99/s42/resolved.yaml"",""receipt.json"":""logs/cosine/awc4/h20/lr-0.005-b1-0.9-b2-0.99/s42/receipt.json"",""request.json"":""logs/cosine/awc4/h20/lr-0.005-b1-0.9-b2-0.99/s42/request.json"",""environment.json"":""shared/environment-9b2bc3094912a784951b4748b4f8bfc5b416f07d64f4cbedb6ca8b6251f5e56d.json""}"
awc4-cosine-h20--0.005--0.9--0.99--s43,awc4,20,1583409.5664222154,1338169.2602833372,1242535.671306993,100.88923460600199,430.46506888000295,40.78472375869751,2552446,2026-09-16,"{""metrics.jsonl"":""logs/cosine/awc4/h20/lr-0.005-b1-0.9-b2-0.99/s43/metrics.jsonl"",""result.json"":""logs/cosine/awc4/h20/lr-0.005-b1-0.9-b2-0.99/s43/result.json"",""resolved.yaml"":""logs/cosine/awc4/h20/lr-0.005-b1-0.9-b2-0.99/s43/resolved.yaml"",""receipt.json"":""logs/cosine/awc4/h20/lr-0.005-b1-0.9-b2-0.99/s43/receipt.json"",""request.json"":""logs/cosine/awc4/h20/lr-0.005-b1-0.9-b2-0.99/s43/request.json"",""environment.json"":""shared/environment-8926d02f2d3035aa06f8b9d0c9fcec30e011b39df9f3478f35ff2d84d051f981.json""}"
awc4-cosine-h20--0.005--0.9--0.99--s44,awc4,20,1569809.509319542,1328515.4857578715,1234765.1144244426,101.49338306598656,433.1388647010026,40.78472375869751,2552447,2026-09-16,"{""metrics.jsonl"":""logs/cosine/awc4/h20/lr-0.005-b1-0.9-b2-0.99/s44/metrics.jsonl"",""result.json"":""logs/cosine/awc4/h20/lr-0.005-b1-0.9-b2-0.99/s44/result.json"",""resolved.yaml"":""logs/cosine/awc4/h20/lr-0.005-b1-0.9-b2-0.99/s44/resolved.yaml"",""receipt.json"":""logs/cosine/awc4/h20/lr-0.005-b1-0.9-b2-0.99/s44/receipt.json"",""request.json"":""logs/cosine/awc4/h20/lr-0.005-b1-0.9-b2-0.99/s44/request.json"",""environment.json"":""shared/environment-c5d4d15bcb8d88ed435840300241da261eaa66cfb8faf607689281833410fae0.json""}"
awc4-cosine-h20--0.005--0.9--0.999--s42,awc4,20,1602085.5922475534,1405238.661989805,1302316.1371452562,101.23346797800332,414.6378812299954,40.78472375869751,2552462,2026-09-16,"{""metrics.jsonl"":""logs/cosine/awc4/h20/lr-0.005-b1-0.9-b2-0.999/s42/metrics.jsonl"",""result.json"":""logs/cosine/awc4/h20/lr-0.005-b1-0.9-b2-0.999/s42/result.json"",""resolved.yaml"":""logs/cosine/awc4/h20/lr-0.005-b1-0.9-b2-0.999/s42/resolved.yaml"",""receipt.json"":""logs/cosine/awc4/h20/lr-0.005-b1-0.9-b2-0.999/s42/receipt.json"",""request.json"":""logs/cosine/awc4/h20/lr-0.005-b1-0.9-b2-0.999/s42/request.json"",""environment.json"":""shared/environment-a50ad5c814df3ebf10346b44c0bfacadc1e07a42f5a3426aacce41a8226cedee.json""}"
awc4-cosine-h20--0.005--0.9--0.999--s43,awc4,20,1569445.9185292474,1341948.9501441699,1245962.9741840845,102.62388402500073,430.7058315780014,40.78472375869751,2552463,2026-09-16,"{""metrics.jsonl"":""logs/cosine/awc4/h20/lr-0.005-b1-0.9-b2-0.999/s43/metrics.jsonl"",""result.json"":""logs/cosine/awc4/h20/lr-0.005-b1-0.9-b2-0.999/s43/result.json"",""resolved.yaml"":""logs/cosine/awc4/h20/lr-0.005-b1-0.9-b2-0.999/s43/resolved.yaml"",""receipt.json"":""logs/cosine/awc4/h20/lr-0.005-b1-0.9-b2-0.999/s43/receipt.json"",""request.json"":""logs/cosine/awc4/h20/lr-0.005-b1-0.9-b2-0.999/s43/request.json"",""environment.json"":""shared/environment-0b5498d79d21990900410d05ad040838ddd2bb5278417168f5854672a80a081a.json""}"
awc4-cosine-h20--0.005--0.9--0.999--s44,awc4,20,1597202.2852119477,1494879.5885095666,1380207.0977639058,101.51484008900297,397.2480211869988,40.78472375869751,2552464,2026-09-16,"{""metrics.jsonl"":""logs/cosine/awc4/h20/lr-0.005-b1-0.9-b2-0.999/s44/metrics.jsonl"",""result.json"":""logs/cosine/awc4/h20/lr-0.005-b1-0.9-b2-0.999/s44/result.json"",""resolved.yaml"":""logs/cosine/awc4/h20/lr-0.005-b1-0.9-b2-0.999/s44/resolved.yaml"",""receipt.json"":""logs/cosine/awc4/h20/lr-0.005-b1-0.9-b2-0.999/s44/receipt.json"",""request.json"":""logs/cosine/awc4/h20/lr-0.005-b1-0.9-b2-0.999/s44/request.json"",""environment.json"":""shared/environment-497f0d365cdbf26ae909fb7fe1e4e9c4c74e220954ab6d398b3862b107ddedbc.json""}"
awc4-cosine-h20--0.005--0.95--0.99--s42,awc4,20,1568824.944023861,1462354.5080603613,1341788.394118057,102.52516826699139,406.67403748299694,40.78472375869751,2552477,2026-09-16,"{""metrics.jsonl"":""logs/cosine/awc4/h20/lr-0.005-b1-0.95-b2-0.99/s42/metrics.jsonl"",""result.json"":""logs/cosine/awc4/h20/lr-0.005-b1-0.95-b2-0.99/s42/result.json"",""resolved.yaml"":""logs/cosine/awc4/h20/lr-0.005-b1-0.95-b2-0.99/s42/resolved.yaml"",""receipt.json"":""logs/cosine/awc4/h20/lr-0.005-b1-0.95-b2-0.99/s42/receipt.json"",""request.json"":""logs/cosine/awc4/h20/lr-0.005-b1-0.95-b2-0.99/s42/request.json"",""environment.json"":""shared/environment-bfffc3505c89b65ef7d689aecef96977fb98a0c05b56a5a942658a794743f3ec.json""}"
awc4-cosine-h20--0.005--0.95--0.99--s43,awc4,20,1581885.1630042284,1485627.2934076583,1372285.8935536537,102.95107162398926,400.3451739220036,40.78472375869751,2552478,2026-09-16,"{""metrics.jsonl"":""logs/cosine/awc4/h20/lr-0.005-b1-0.95-b2-0.99/s43/metrics.jsonl"",""result.json"":""logs/cosine/awc4/h20/lr-0.005-b1-0.95-b2-0.99/s43/result.json"",""resolved.yaml"":""logs/cosine/awc4/h20/lr-0.005-b1-0.95-b2-0.99/s43/resolved.yaml"",""receipt.json"":""logs/cosine/awc4/h20/lr-0.005-b1-0.95-b2-0.99/s43/receipt.json"",""request.json"":""logs/cosine/awc4/h20/lr-0.005-b1-0.95-b2-0.99/s43/request.json"",""environment.json"":""shared/environment-00704cad58e4cbc20756c69886be95f5f1fc121c3357de2062f774a33f6aff8f.json""}"
awc4-cosine-h20--0.005--0.95--0.99--s44,awc4,20,1595497.3733305484,1495457.1881738089,1379627.416614354,102.48166453799058,398.2921775380091,40.78472375869751,2552479,2026-09-16,"{""metrics.jsonl"":""logs/cosine/awc4/h20/lr-0.005-b1-0.95-b2-0.99/s44/metrics.jsonl"",""result.json"":""logs/cosine/awc4/h20/lr-0.005-b1-0.95-b2-0.99/s44/result.json"",""resolved.yaml"":""logs/cosine/awc4/h20/lr-0.005-b1-0.95-b2-0.99/s44/resolved.yaml"",""receipt.json"":""logs/cosine/awc4/h20/lr-0.005-b1-0.95-b2-0.99/s44/receipt.json"",""request.json"":""logs/cosine/awc4/h20/lr-0.005-b1-0.95-b2-0.99/s44/request.json"",""environment.json"":""shared/environment-310c14d12b7c775646a7732fb2129c794adecc7d274bd1f1cb10bbe4ad2b29bd.json""}"
awc4-cosine-h20--0.005--0.95--0.999--s42,awc4,20,1621781.9452178027,1519729.580116874,1402085.7034121586,100.17973446199903,391.24557408399414,40.78472375869751,2552493,2026-09-16,"{""metrics.jsonl"":""logs/cosine/awc4/h20/lr-0.005-b1-0.95-b2-0.999/s42/metrics.jsonl"",""result.json"":""logs/cosine/awc4/h20/lr-0.005-b1-0.95-b2-0.999/s42/result.json"",""resolved.yaml"":""logs/cosine/awc4/h20/lr-0.005-b1-0.95-b2-0.999/s42/resolved.yaml"",""receipt.json"":""logs/cosine/awc4/h20/lr-0.005-b1-0.95-b2-0.999/s42/receipt.json"",""request.json"":""logs/cosine/awc4/h20/lr-0.005-b1-0.95-b2-0.999/s42/request.json"",""environment.json"":""shared/environment-d7ab6ac47869607efd75861570f17b3ff722683ca065d4ecea73794e32572aa2.json""}"
