schedule,method,horizon,lr,beta1,beta2,id,mean,sd,runs,rank
cosine,awc4,20,0.01,0.95,0.99,awc4-cosine-h20--0.01--0.95--0.99,3.570301989298633,0.004893428801824943,"[{""id"":""awc4-cosine-h20--0.01--0.95--0.99--s42"",""seed"":42,""loss"":3.5757506800491314,""jobId"":""2565894"",""artifacts"":{""metrics.jsonl"":""logs/cosine/awc4/h20/lr-0.01-b1-0.95-b2-0.99/s42/metrics.jsonl"",""result.json"":""logs/cosine/awc4/h20/lr-0.01-b1-0.95-b2-0.99/s42/result.json"",""resolved.yaml"":""logs/cosine/awc4/h20/lr-0.01-b1-0.95-b2-0.99/s42/resolved.yaml"",""receipt.json"":""logs/cosine/awc4/h20/lr-0.01-b1-0.95-b2-0.99/s42/receipt.json"",""request.json"":""logs/cosine/awc4/h20/lr-0.01-b1-0.95-b2-0.99/s42/request.json"",""environment.json"":""shared/environment-47142c0055b07b04533b7c95c98a2bc9dc5c0eb7c1332b3fe4d9faebfd0123e0.json""}},{""id"":""awc4-cosine-h20--0.01--0.95--0.99--s43"",""seed"":43,""loss"":3.5688735884698835,""jobId"":""2565895"",""artifacts"":{""metrics.jsonl"":""logs/cosine/awc4/h20/lr-0.01-b1-0.95-b2-0.99/s43/metrics.jsonl"",""result.json"":""logs/cosine/awc4/h20/lr-0.01-b1-0.95-b2-0.99/s43/result.json"",""resolved.yaml"":""logs/cosine/awc4/h20/lr-0.01-b1-0.95-b2-0.99/s43/resolved.yaml"",""receipt.json"":""logs/cosine/awc4/h20/lr-0.01-b1-0.95-b2-0.99/s43/receipt.json"",""request.json"":""logs/cosine/awc4/h20/lr-0.01-b1-0.95-b2-0.99/s43/request.json"",""environment.json"":""shared/environment-574bd338d6137c4e8725cafc646ef6f0efda6cb76a1df9e2893c8ec9396a3c76.json""}},{""id"":""awc4-cosine-h20--0.01--0.95--0.99--s44"",""seed"":44,""loss"":3.5662816993768836,""jobId"":""2565896"",""artifacts"":{""metrics.jsonl"":""logs/cosine/awc4/h20/lr-0.01-b1-0.95-b2-0.99/s44/metrics.jsonl"",""result.json"":""logs/cosine/awc4/h20/lr-0.01-b1-0.95-b2-0.99/s44/result.json"",""resolved.yaml"":""logs/cosine/awc4/h20/lr-0.01-b1-0.95-b2-0.99/s44/resolved.yaml"",""receipt.json"":""logs/cosine/awc4/h20/lr-0.01-b1-0.95-b2-0.99/s44/receipt.json"",""request.json"":""logs/cosine/awc4/h20/lr-0.01-b1-0.95-b2-0.99/s44/request.json"",""environment.json"":""shared/environment-ed6050cb6acdb2eaeaec9e0ecbb32d5f806ee7fda53761d10631b754b9bfdd52.json""}}]",1
cosine,awc4,40,0.01,0.95,0.99,awc4-cosine-h40--0.01--0.95--0.99,3.4413278096785627,0.0017907971635927446,"[{""id"":""awc4-cosine-h40--0.01--0.95--0.99--s42"",""seed"":42,""loss"":3.443109206496687,""jobId"":""2567246"",""artifacts"":{""metrics.jsonl"":""logs/cosine/awc4/h40/lr-0.01-b1-0.95-b2-0.99/s42/metrics.jsonl"",""result.json"":""logs/cosine/awc4/h40/lr-0.01-b1-0.95-b2-0.99/s42/result.json"",""resolved.yaml"":""logs/cosine/awc4/h40/lr-0.01-b1-0.95-b2-0.99/s42/resolved.yaml"",""receipt.json"":""logs/cosine/awc4/h40/lr-0.01-b1-0.95-b2-0.99/s42/receipt.json"",""request.json"":""logs/cosine/awc4/h40/lr-0.01-b1-0.95-b2-0.99/s42/request.json"",""environment.json"":""shared/environment-aca8fe5c730c53ad37235aed1743e91013f1e64e51793c7bd11c37b351881f75.json""}},{""id"":""awc4-cosine-h40--0.01--0.95--0.99--s43"",""seed"":43,""loss"":3.4413464646185425,""jobId"":""2567248"",""artifacts"":{""metrics.jsonl"":""logs/cosine/awc4/h40/lr-0.01-b1-0.95-b2-0.99/s43/metrics.jsonl"",""result.json"":""logs/cosine/awc4/h40/lr-0.01-b1-0.95-b2-0.99/s43/result.json"",""resolved.yaml"":""logs/cosine/awc4/h40/lr-0.01-b1-0.95-b2-0.99/s43/resolved.yaml"",""receipt.json"":""logs/cosine/awc4/h40/lr-0.01-b1-0.95-b2-0.99/s43/receipt.json"",""request.json"":""logs/cosine/awc4/h40/lr-0.01-b1-0.95-b2-0.99/s43/request.json"",""environment.json"":""shared/environment-349f80163be65d7b941ec20eb956afe02be811a1bc1d6c880f93666109910172.json""}},{""id"":""awc4-cosine-h40--0.01--0.95--0.99--s44"",""seed"":44,""loss"":3.4395277579204584,""jobId"":""2567295"",""artifacts"":{""metrics.jsonl"":""logs/cosine/awc4/h40/lr-0.01-b1-0.95-b2-0.99/s44/metrics.jsonl"",""result.json"":""logs/cosine/awc4/h40/lr-0.01-b1-0.95-b2-0.99/s44/result.json"",""resolved.yaml"":""logs/cosine/awc4/h40/lr-0.01-b1-0.95-b2-0.99/s44/resolved.yaml"",""receipt.json"":""logs/cosine/awc4/h40/lr-0.01-b1-0.95-b2-0.99/s44/receipt.json"",""request.json"":""logs/cosine/awc4/h40/lr-0.01-b1-0.95-b2-0.99/s44/request.json"",""environment.json"":""shared/environment-409092524d7f4e3fb82f7bd0035addc33fb198848fa3f6bdd1391e01d45eece6.json""}}]",1
cosine,awc4,80,0.01,0.974,0.999,awc4-cosine-h80--0.01--0.974--0.999,3.351158180401799,0.00469385878167558,"[{""id"":""awc4-cosine-h80--0.01--0.974--0.999--s42"",""seed"":42,""loss"":3.349651404525718,""jobId"":""2568206"",""artifacts"":{""metrics.jsonl"":""logs/cosine/awc4/h80/lr-0.01-b1-0.974-b2-0.999/s42/metrics.jsonl"",""result.json"":""logs/cosine/awc4/h80/lr-0.01-b1-0.974-b2-0.999/s42/result.json"",""resolved.yaml"":""logs/cosine/awc4/h80/lr-0.01-b1-0.974-b2-0.999/s42/resolved.yaml"",""receipt.json"":""logs/cosine/awc4/h80/lr-0.01-b1-0.974-b2-0.999/s42/receipt.json"",""request.json"":""logs/cosine/awc4/h80/lr-0.01-b1-0.974-b2-0.999/s42/request.json"",""environment.json"":""shared/environment-21a0137c9ab05e0417c1a9b9d4250bfacab53bf3351bbf63d6e39e4915e13dee.json""}},{""id"":""awc4-cosine-h80--0.01--0.974--0.999--s43"",""seed"":43,""loss"":3.347402740320636,""jobId"":""2568217"",""artifacts"":{""metrics.jsonl"":""logs/cosine/awc4/h80/lr-0.01-b1-0.974-b2-0.999/s43/metrics.jsonl"",""result.json"":""logs/cosine/awc4/h80/lr-0.01-b1-0.974-b2-0.999/s43/result.json"",""resolved.yaml"":""logs/cosine/awc4/h80/lr-0.01-b1-0.974-b2-0.999/s43/resolved.yaml"",""receipt.json"":""logs/cosine/awc4/h80/lr-0.01-b1-0.974-b2-0.999/s43/receipt.json"",""request.json"":""logs/cosine/awc4/h80/lr-0.01-b1-0.974-b2-0.999/s43/request.json"",""environment.json"":""shared/environment-9174432c7dd09f894899041f596c6bb843ed1ed470f04e84a53b19637bdce4ad.json""}},{""id"":""awc4-cosine-h80--0.01--0.974--0.999--s44"",""seed"":44,""loss"":3.3564203963590438,""jobId"":""2568220"",""artifacts"":{""metrics.jsonl"":""logs/cosine/awc4/h80/lr-0.01-b1-0.974-b2-0.999/s44/metrics.jsonl"",""result.json"":""logs/cosine/awc4/h80/lr-0.01-b1-0.974-b2-0.999/s44/result.json"",""resolved.yaml"":""logs/cosine/awc4/h80/lr-0.01-b1-0.974-b2-0.999/s44/resolved.yaml"",""receipt.json"":""logs/cosine/awc4/h80/lr-0.01-b1-0.974-b2-0.999/s44/receipt.json"",""request.json"":""logs/cosine/awc4/h80/lr-0.01-b1-0.974-b2-0.999/s44/request.json"",""environment.json"":""shared/environment-4540c975254894bc95ebe7d472d3e15c09796bb655bcbd24f9d7027f06509962.json""}}]",1
cosine,awc8,20,0.014,0.95,0.99,awc8-cosine-h20--0.014--0.95--0.99,3.5855890708524827,0.0031062413369639247,"[{""id"":""awc8-cosine-h20--0.014--0.95--0.99--s42"",""seed"":42,""loss"":3.5891697125974296,""jobId"":""2580832"",""artifacts"":{""metrics.jsonl"":""logs/cosine/awc8/h20/lr-0.014-b1-0.95-b2-0.99/s42/metrics.jsonl"",""result.json"":""logs/cosine/awc8/h20/lr-0.014-b1-0.95-b2-0.99/s42/result.json"",""resolved.yaml"":""logs/cosine/awc8/h20/lr-0.014-b1-0.95-b2-0.99/s42/resolved.yaml"",""receipt.json"":""logs/cosine/awc8/h20/lr-0.014-b1-0.95-b2-0.99/s42/receipt.json"",""request.json"":""logs/cosine/awc8/h20/lr-0.014-b1-0.95-b2-0.99/s42/request.json"",""environment.json"":""shared/environment-f8b5c0cfcf4cf095539e1557642be4be1cc89166df6d555b888d593c63faa517.json""}},{""id"":""awc8-cosine-h20--0.014--0.95--0.99--s43"",""seed"":43,""loss"":3.5836171218868613,""jobId"":""2580833"",""artifacts"":{""metrics.jsonl"":""logs/cosine/awc8/h20/lr-0.014-b1-0.95-b2-0.99/s43/metrics.jsonl"",""result.json"":""logs/cosine/awc8/h20/lr-0.014-b1-0.95-b2-0.99/s43/result.json"",""resolved.yaml"":""logs/cosine/awc8/h20/lr-0.014-b1-0.95-b2-0.99/s43/resolved.yaml"",""receipt.json"":""logs/cosine/awc8/h20/lr-0.014-b1-0.95-b2-0.99/s43/receipt.json"",""request.json"":""logs/cosine/awc8/h20/lr-0.014-b1-0.95-b2-0.99/s43/request.json"",""environment.json"":""shared/environment-47b02ff6207de89554e25b174d7abe4d1b01d5ebcf9ccde70749ccafd3fa2085.json""}},{""id"":""awc8-cosine-h20--0.014--0.95--0.99--s44"",""seed"":44,""loss"":3.5839803780731567,""jobId"":""2580834"",""artifacts"":{""metrics.jsonl"":""logs/cosine/awc8/h20/lr-0.014-b1-0.95-b2-0.99/s44/metrics.jsonl"",""result.json"":""logs/cosine/awc8/h20/lr-0.014-b1-0.95-b2-0.99/s44/result.json"",""resolved.yaml"":""logs/cosine/awc8/h20/lr-0.014-b1-0.95-b2-0.99/s44/resolved.yaml"",""receipt.json"":""logs/cosine/awc8/h20/lr-0.014-b1-0.95-b2-0.99/s44/receipt.json"",""request.json"":""logs/cosine/awc8/h20/lr-0.014-b1-0.95-b2-0.99/s44/request.json"",""environment.json"":""shared/environment-b9659206747b1b7b54788d503c5754453c008c16caecb245494d6cac06c7ff21.json""}}]",1
cosine,awc8,40,0.012,0.95,0.999,awc8-cosine-h40--0.012--0.95--0.999,3.4474511389243774,0.0035438597382347697,"[{""id"":""awc8-cosine-h40--0.012--0.95--0.999--s42"",""seed"":42,""loss"":3.443383541711023,""jobId"":""2578313"",""artifacts"":{""metrics.jsonl"":""logs/cosine/awc8/h40/lr-0.012-b1-0.95-b2-0.999/s42/metrics.jsonl"",""result.json"":""logs/cosine/awc8/h40/lr-0.012-b1-0.95-b2-0.999/s42/result.json"",""resolved.yaml"":""logs/cosine/awc8/h40/lr-0.012-b1-0.95-b2-0.999/s42/resolved.yaml"",""receipt.json"":""logs/cosine/awc8/h40/lr-0.012-b1-0.95-b2-0.999/s42/receipt.json"",""request.json"":""logs/cosine/awc8/h40/lr-0.012-b1-0.95-b2-0.999/s42/request.json"",""environment.json"":""shared/environment-42a2d3e60a8edda7153024eb248adc57f376002f7f686b2008d67a5ef5e2f086.json""}},{""id"":""awc8-cosine-h40--0.012--0.95--0.999--s43"",""seed"":43,""loss"":3.4498721474569543,""jobId"":""2578314"",""artifacts"":{""metrics.jsonl"":""logs/cosine/awc8/h40/lr-0.012-b1-0.95-b2-0.999/s43/metrics.jsonl"",""result.json"":""logs/cosine/awc8/h40/lr-0.012-b1-0.95-b2-0.999/s43/result.json"",""resolved.yaml"":""logs/cosine/awc8/h40/lr-0.012-b1-0.95-b2-0.999/s43/resolved.yaml"",""receipt.json"":""logs/cosine/awc8/h40/lr-0.012-b1-0.95-b2-0.999/s43/receipt.json"",""request.json"":""logs/cosine/awc8/h40/lr-0.012-b1-0.95-b2-0.999/s43/request.json"",""environment.json"":""shared/environment-b509cf2d59aadf9617426628b9b4cf5371d16d31c251afea59361bb08eeb5b92.json""}},{""id"":""awc8-cosine-h40--0.012--0.95--0.999--s44"",""seed"":44,""loss"":3.449097727605155,""jobId"":""2578315"",""artifacts"":{""metrics.jsonl"":""logs/cosine/awc8/h40/lr-0.012-b1-0.95-b2-0.999/s44/metrics.jsonl"",""result.json"":""logs/cosine/awc8/h40/lr-0.012-b1-0.95-b2-0.999/s44/result.json"",""resolved.yaml"":""logs/cosine/awc8/h40/lr-0.012-b1-0.95-b2-0.999/s44/resolved.yaml"",""receipt.json"":""logs/cosine/awc8/h40/lr-0.012-b1-0.95-b2-0.999/s44/receipt.json"",""request.json"":""logs/cosine/awc8/h40/lr-0.012-b1-0.95-b2-0.999/s44/request.json"",""environment.json"":""shared/environment-3295ea41666839628fbe273e4f4308b65e8462246c334bca245a92420aa120b3.json""}}]",1
cosine,awc8,80,0.012,0.974,0.999,awc8-cosine-h80--0.012--0.974--0.999,3.3553511154795275,0.001988160834744261,"[{""id"":""awc8-cosine-h80--0.012--0.974--0.999--s42"",""seed"":42,""loss"":3.3552921020995776,""jobId"":""2578567"",""artifacts"":{""metrics.jsonl"":""logs/cosine/awc8/h80/lr-0.012-b1-0.974-b2-0.999/s42/metrics.jsonl"",""result.json"":""logs/cosine/awc8/h80/lr-0.012-b1-0.974-b2-0.999/s42/result.json"",""resolved.yaml"":""logs/cosine/awc8/h80/lr-0.012-b1-0.974-b2-0.999/s42/resolved.yaml"",""receipt.json"":""logs/cosine/awc8/h80/lr-0.012-b1-0.974-b2-0.999/s42/receipt.json"",""request.json"":""logs/cosine/awc8/h80/lr-0.012-b1-0.974-b2-0.999/s42/request.json"",""environment.json"":""shared/environment-90eda87620b308993653a3d044ba7a7167aa46f98af9079599d0848b494fd251.json""}},{""id"":""awc8-cosine-h80--0.012--0.974--0.999--s43"",""seed"":43,""loss"":3.3533931183152794,""jobId"":""2578568"",""artifacts"":{""metrics.jsonl"":""logs/cosine/awc8/h80/lr-0.012-b1-0.974-b2-0.999/s43/metrics.jsonl"",""result.json"":""logs/cosine/awc8/h80/lr-0.012-b1-0.974-b2-0.999/s43/result.json"",""resolved.yaml"":""logs/cosine/awc8/h80/lr-0.012-b1-0.974-b2-0.999/s43/resolved.yaml"",""receipt.json"":""logs/cosine/awc8/h80/lr-0.012-b1-0.974-b2-0.999/s43/receipt.json"",""request.json"":""logs/cosine/awc8/h80/lr-0.012-b1-0.974-b2-0.999/s43/request.json"",""environment.json"":""shared/environment-90fbbef0d456a62839142808998d7ac628e71097c1093cbc013f6fd4dbffa85d.json""}},{""id"":""awc8-cosine-h80--0.012--0.974--0.999--s44"",""seed"":44,""loss"":3.3573681260237254,""jobId"":""2578569"",""artifacts"":{""metrics.jsonl"":""logs/cosine/awc8/h80/lr-0.012-b1-0.974-b2-0.999/s44/metrics.jsonl"",""result.json"":""logs/cosine/awc8/h80/lr-0.012-b1-0.974-b2-0.999/s44/result.json"",""resolved.yaml"":""logs/cosine/awc8/h80/lr-0.012-b1-0.974-b2-0.999/s44/resolved.yaml"",""receipt.json"":""logs/cosine/awc8/h80/lr-0.012-b1-0.974-b2-0.999/s44/receipt.json"",""request.json"":""logs/cosine/awc8/h80/lr-0.012-b1-0.974-b2-0.999/s44/request.json"",""environment.json"":""shared/environment-ca0bd3f5636d39b28fcfb91f73276be089cecb726701fd91632d6513d90f2c2f.json""}}]",1
cosine,sync,20,0.01,0.9,0.99,sync-cosine-h20--0.01--0.9--0.99,3.5498177983944066,0.0032837215065733127,"[{""id"":""sync-cosine-h20--0.01--0.9--0.99--s42"",""seed"":42,""loss"":3.5495782484084852,""jobId"":""2565618"",""artifacts"":{""metrics.jsonl"":""logs/cosine/sync/h20/lr-0.01-b1-0.9-b2-0.99/s42/metrics.jsonl"",""result.json"":""logs/cosine/sync/h20/lr-0.01-b1-0.9-b2-0.99/s42/result.json"",""resolved.yaml"":""logs/cosine/sync/h20/lr-0.01-b1-0.9-b2-0.99/s42/resolved.yaml"",""receipt.json"":""logs/cosine/sync/h20/lr-0.01-b1-0.9-b2-0.99/s42/receipt.json"",""request.json"":""logs/cosine/sync/h20/lr-0.01-b1-0.9-b2-0.99/s42/request.json"",""environment.json"":""shared/environment-a369ced6d9d33e0b4e72f7cdbcba861454124b93ac17086ede123bdbd1392853.json""}},{""id"":""sync-cosine-h20--0.01--0.9--0.99--s43"",""seed"":43,""loss"":3.5532147350840058,""jobId"":""2565619"",""artifacts"":{""metrics.jsonl"":""logs/cosine/sync/h20/lr-0.01-b1-0.9-b2-0.99/s43/metrics.jsonl"",""result.json"":""logs/cosine/sync/h20/lr-0.01-b1-0.9-b2-0.99/s43/result.json"",""resolved.yaml"":""logs/cosine/sync/h20/lr-0.01-b1-0.9-b2-0.99/s43/resolved.yaml"",""receipt.json"":""logs/cosine/sync/h20/lr-0.01-b1-0.9-b2-0.99/s43/receipt.json"",""request.json"":""logs/cosine/sync/h20/lr-0.01-b1-0.9-b2-0.99/s43/request.json"",""environment.json"":""shared/environment-98072c17d4ba5b433231225eac0a2991a6b9d295a47b3cf42e6b75d1545f3913.json""}},{""id"":""sync-cosine-h20--0.01--0.9--0.99--s44"",""seed"":44,""loss"":3.5466604116907283,""jobId"":""2565620"",""artifacts"":{""metrics.jsonl"":""logs/cosine/sync/h20/lr-0.01-b1-0.9-b2-0.99/s44/metrics.jsonl"",""result.json"":""logs/cosine/sync/h20/lr-0.01-b1-0.9-b2-0.99/s44/result.json"",""resolved.yaml"":""logs/cosine/sync/h20/lr-0.01-b1-0.9-b2-0.99/s44/resolved.yaml"",""receipt.json"":""logs/cosine/sync/h20/lr-0.01-b1-0.9-b2-0.99/s44/receipt.json"",""request.json"":""logs/cosine/sync/h20/lr-0.01-b1-0.9-b2-0.99/s44/request.json"",""environment.json"":""shared/environment-7a0e1fedd90ab51becb04e2b07c188666e081d774d98d0c1910b82ad08e7d711.json""}}]",1
cosine,sync,40,0.01,0.9,0.98,sync-cosine-h40--0.01--0.9--0.98,3.429878804190539,0.0038753304952734136,"[{""id"":""sync-cosine-h40--0.01--0.9--0.98--s42"",""seed"":42,""loss"":3.4312042850351276,""jobId"":""2565630"",""artifacts"":{""metrics.jsonl"":""logs/cosine/sync/h40/lr-0.01-b1-0.9-b2-0.98/s42/metrics.jsonl"",""result.json"":""logs/cosine/sync/h40/lr-0.01-b1-0.9-b2-0.98/s42/result.json"",""resolved.yaml"":""logs/cosine/sync/h40/lr-0.01-b1-0.9-b2-0.98/s42/resolved.yaml"",""receipt.json"":""logs/cosine/sync/h40/lr-0.01-b1-0.9-b2-0.98/s42/receipt.json"",""request.json"":""logs/cosine/sync/h40/lr-0.01-b1-0.9-b2-0.98/s42/request.json"",""environment.json"":""shared/environment-4fd491717993e91a7f563fc46745ea260a4e8a632a515434e1b84b6051f8694e.json""}},{""id"":""sync-cosine-h40--0.01--0.9--0.98--s43"",""seed"":43,""loss"":3.4255146435211548,""jobId"":""2565631"",""artifacts"":{""metrics.jsonl"":""logs/cosine/sync/h40/lr-0.01-b1-0.9-b2-0.98/s43/metrics.jsonl"",""result.json"":""logs/cosine/sync/h40/lr-0.01-b1-0.9-b2-0.98/s43/result.json"",""resolved.yaml"":""logs/cosine/sync/h40/lr-0.01-b1-0.9-b2-0.98/s43/resolved.yaml"",""receipt.json"":""logs/cosine/sync/h40/lr-0.01-b1-0.9-b2-0.98/s43/receipt.json"",""request.json"":""logs/cosine/sync/h40/lr-0.01-b1-0.9-b2-0.98/s43/request.json"",""environment.json"":""shared/environment-9634e0d7041c7572ba5002eb21d09bb75db805c0397d4f566c367d84964d9a41.json""}},{""id"":""sync-cosine-h40--0.01--0.9--0.98--s44"",""seed"":44,""loss"":3.4329174840153347,""jobId"":""2565632"",""artifacts"":{""metrics.jsonl"":""logs/cosine/sync/h40/lr-0.01-b1-0.9-b2-0.98/s44/metrics.jsonl"",""result.json"":""logs/cosine/sync/h40/lr-0.01-b1-0.9-b2-0.98/s44/result.json"",""resolved.yaml"":""logs/cosine/sync/h40/lr-0.01-b1-0.9-b2-0.98/s44/resolved.yaml"",""receipt.json"":""logs/cosine/sync/h40/lr-0.01-b1-0.9-b2-0.98/s44/receipt.json"",""request.json"":""logs/cosine/sync/h40/lr-0.01-b1-0.9-b2-0.98/s44/request.json"",""environment.json"":""shared/environment-cecbe219c41c17f399792277c43e3a2146baa9ad7bad6762699dad836a496897.json""}}]",1
cosine,sync,80,0.01,0.9,0.99,sync-cosine-h80--0.01--0.9--0.99,3.3474222322236544,0.0033709697019137005,"[{""id"":""sync-cosine-h80--0.01--0.9--0.99--s42"",""seed"":42,""loss"":3.3454949984867444,""jobId"":""2565653"",""artifacts"":{""metrics.jsonl"":""logs/cosine/sync/h80/lr-0.01-b1-0.9-b2-0.99/s42/metrics.jsonl"",""result.json"":""logs/cosine/sync/h80/lr-0.01-b1-0.9-b2-0.99/s42/result.json"",""resolved.yaml"":""logs/cosine/sync/h80/lr-0.01-b1-0.9-b2-0.99/s42/resolved.yaml"",""receipt.json"":""logs/cosine/sync/h80/lr-0.01-b1-0.9-b2-0.99/s42/receipt.json"",""request.json"":""logs/cosine/sync/h80/lr-0.01-b1-0.9-b2-0.99/s42/request.json"",""environment.json"":""shared/environment-bc9f52fcdb0d4f41f7e6ccc4250809be15583231360431c393904ae792c093c8.json""}},{""id"":""sync-cosine-h80--0.01--0.9--0.99--s43"",""seed"":43,""loss"":3.3513146311467708,""jobId"":""2565654"",""artifacts"":{""metrics.jsonl"":""logs/cosine/sync/h80/lr-0.01-b1-0.9-b2-0.99/s43/metrics.jsonl"",""result.json"":""logs/cosine/sync/h80/lr-0.01-b1-0.9-b2-0.99/s43/result.json"",""resolved.yaml"":""logs/cosine/sync/h80/lr-0.01-b1-0.9-b2-0.99/s43/resolved.yaml"",""receipt.json"":""logs/cosine/sync/h80/lr-0.01-b1-0.9-b2-0.99/s43/receipt.json"",""request.json"":""logs/cosine/sync/h80/lr-0.01-b1-0.9-b2-0.99/s43/request.json"",""environment.json"":""shared/environment-8e444a363411e18697754fdf2cfeea99d9d9f9cc37d14dc2f666d0ae5b5f1f47.json""}},{""id"":""sync-cosine-h80--0.01--0.9--0.99--s44"",""seed"":44,""loss"":3.3454570670374477,""jobId"":""2565655"",""artifacts"":{""metrics.jsonl"":""logs/cosine/sync/h80/lr-0.01-b1-0.9-b2-0.99/s44/metrics.jsonl"",""result.json"":""logs/cosine/sync/h80/lr-0.01-b1-0.9-b2-0.99/s44/result.json"",""resolved.yaml"":""logs/cosine/sync/h80/lr-0.01-b1-0.9-b2-0.99/s44/resolved.yaml"",""receipt.json"":""logs/cosine/sync/h80/lr-0.01-b1-0.9-b2-0.99/s44/receipt.json"",""request.json"":""logs/cosine/sync/h80/lr-0.01-b1-0.9-b2-0.99/s44/request.json"",""environment.json"":""shared/environment-a0bf75166f923f95d041cd4bec75f70bdcd8ddb592a3a6d4a1b08f11ea03451b.json""}}]",1
wsd,awc8,20,0.006,0.95,0.999,awc8-wsd-h20--0.006--0.95--0.999,3.5931279608856075,0.004362500831615707,"[{""id"":""awc8-wsd-h20--0.006--0.95--0.999--s42"",""seed"":42,""loss"":3.5881057930940465,""jobId"":""2479658"",""artifacts"":{""metrics.jsonl"":""logs/wsd/awc8/h20/lr-0.006-b1-0.95-b2-0.999/s42/metrics.jsonl"",""result.json"":""logs/wsd/awc8/h20/lr-0.006-b1-0.95-b2-0.999/s42/result.json"",""resolved.yaml"":""logs/wsd/awc8/h20/lr-0.006-b1-0.95-b2-0.999/s42/resolved.yaml"",""receipt.json"":""logs/wsd/awc8/h20/lr-0.006-b1-0.95-b2-0.999/s42/receipt.json"",""request.json"":""logs/wsd/awc8/h20/lr-0.006-b1-0.95-b2-0.999/s42/request.json"",""environment.json"":""shared/environment-aab8046113790411bb525b96be00d5355a00e918a939b4edffb23cf97b87949c.json""}},{""id"":""awc8-wsd-h20--0.006--0.95--0.999--s43"",""seed"":43,""loss"":3.595977846361822,""jobId"":""2479659"",""artifacts"":{""metrics.jsonl"":""logs/wsd/awc8/h20/lr-0.006-b1-0.95-b2-0.999/s43/metrics.jsonl"",""result.json"":""logs/wsd/awc8/h20/lr-0.006-b1-0.95-b2-0.999/s43/result.json"",""resolved.yaml"":""logs/wsd/awc8/h20/lr-0.006-b1-0.95-b2-0.999/s43/resolved.yaml"",""receipt.json"":""logs/wsd/awc8/h20/lr-0.006-b1-0.95-b2-0.999/s43/receipt.json"",""request.json"":""logs/wsd/awc8/h20/lr-0.006-b1-0.95-b2-0.999/s43/request.json"",""environment.json"":""shared/environment-7bd88c3c7326c28518492de829809d1b3431aa8a684bc526d067fa741655b9ad.json""}},{""id"":""awc8-wsd-h20--0.006--0.95--0.999--s44"",""seed"":44,""loss"":3.5953002432009535,""jobId"":""2479660"",""artifacts"":{""metrics.jsonl"":""logs/wsd/awc8/h20/lr-0.006-b1-0.95-b2-0.999/s44/metrics.jsonl"",""result.json"":""logs/wsd/awc8/h20/lr-0.006-b1-0.95-b2-0.999/s44/result.json"",""resolved.yaml"":""logs/wsd/awc8/h20/lr-0.006-b1-0.95-b2-0.999/s44/resolved.yaml"",""receipt.json"":""logs/wsd/awc8/h20/lr-0.006-b1-0.95-b2-0.999/s44/receipt.json"",""request.json"":""logs/wsd/awc8/h20/lr-0.006-b1-0.95-b2-0.999/s44/request.json"",""environment.json"":""shared/environment-1dbb88c3e0fcab17c99c0c2d09f047d311c5cdc2d7c9b0c4c0466c6814c9caf3.json""}}]",1
