mode,lr,beta2,seeds_completed,eligible,mean_loss,std_loss,rank
synchronous,0.0008,0.95,3,True,3.6245615580349364,0.004014164569230975,36
synchronous,0.0008,0.98,3,True,3.6032842209583333,0.007582067904738704,24
synchronous,0.0008,0.999,3,True,3.5887134560613276,0.0071404943578390586,19
synchronous,0.001,0.95,3,True,3.6203938685395616,0.010819578872628554,35
synchronous,0.001,0.98,3,True,3.5965558442894157,0.008589775214016783,23
synchronous,0.001,0.999,3,True,3.581477573306363,0.006323759641441876,11
synchronous,0.0012,0.95,3,True,3.6104850153563413,0.004409711655698562,27
synchronous,0.0012,0.98,3,True,3.5841951561452357,0.0011795319260360724,15
synchronous,0.0012,0.999,3,True,3.5695731271736157,0.00286008535760971,8
synchronous,0.0014,0.95,3,True,3.611655663985648,0.0050447783490834034,29
synchronous,0.0014,0.98,3,True,3.5821550263334894,0.0045189710402875815,13
synchronous,0.0014,0.999,3,True,3.566896473001681,0.002124991383676485,6
synchronous,0.0016,0.95,3,True,3.6177028371461875,0.005189438203781682,34
synchronous,0.0016,0.98,3,True,3.5898229975737608,0.007152055065917762,22
synchronous,0.0016,0.999,3,True,3.570823753713868,0.004557067212833817,9
synchronous,0.0018,0.95,3,True,3.614197211463554,0.011721391890808917,33
synchronous,0.0018,0.98,3,True,3.589763043898741,0.0019202419759559908,21
synchronous,0.0018,0.999,3,True,3.5665118193737344,0.008355818305412812,4
synchronous,0.002,0.95,3,True,3.610756915190311,0.0012281051406474286,28
synchronous,0.002,0.98,3,True,3.5884716012741062,0.004077578454425244,18
synchronous,0.002,0.999,3,True,3.56865202024676,0.007927263964464111,7
synchronous,0.0022,0.95,3,True,3.607315530585755,0.005513146498832029,25
synchronous,0.0022,0.98,3,True,3.5826760497114063,0.008905314018677364,14
synchronous,0.0022,0.999,3,True,3.5645048441324407,0.007246618412486263,2
synchronous,0.0024,0.95,3,True,3.610427889457696,0.004872059540060203,26
synchronous,0.0024,0.98,3,True,3.588001029438905,0.003654413788073852,17
synchronous,0.0024,0.999,3,True,3.5650255942439975,0.00681527564957187,3
synchronous,0.0026,0.95,3,True,3.6131388028625806,0.003952309595965593,31
synchronous,0.0026,0.98,3,True,3.5842560113618296,0.004373242643233418,16
synchronous,0.0026,0.999,3,True,3.5666775448261014,0.005946558365170652,5
synchronous,0.0028,0.95,3,True,3.6139444903875786,0.008979854539560583,32
synchronous,0.0028,0.98,3,True,3.581536983230328,0.0016945159414255373,12
synchronous,0.0028,0.999,3,True,3.5643696458147076,0.003590081730578393,1
synchronous,0.003,0.95,3,True,3.6118952852417086,0.0016908507451507408,30
synchronous,0.003,0.98,3,True,3.589134298019467,0.0064216871117426955,20
synchronous,0.003,0.999,3,True,3.5720764820366835,0.004650225096104241,10
packed-4,0.001,0.95,3,True,3.78946153893921,0.005464322957550627,36
packed-4,0.001,0.98,3,True,3.7071440062096097,0.0043679091124737834,24
packed-4,0.001,0.999,3,True,3.6345789319175412,0.0037441289082661435,12
packed-4,0.0012,0.95,3,True,3.7781559013734185,0.0046717333446142,35
packed-4,0.0012,0.98,3,True,3.693528385791029,0.00798464630417102,23
packed-4,0.0012,0.999,3,True,3.6201193120626782,0.006653471442911327,11
packed-4,0.0016,0.95,3,True,3.7716795918431303,0.008650252759451913,34
packed-4,0.0016,0.98,3,True,3.682722872139238,0.007128096716069916,21
packed-4,0.0016,0.999,3,True,3.60665377015259,0.0018724206298880695,10
packed-4,0.002,0.95,3,True,3.7666382517932346,0.0031696439309282834,29
packed-4,0.002,0.98,3,True,3.6775472202496853,0.006646963532831982,18
packed-4,0.002,0.999,3,True,3.595805916657849,0.003967412559722369,8
packed-4,0.0024,0.95,3,True,3.7673097751551534,0.008563588734362297,31
