campaign,index,run_id,lr,beta1,beta2,seed,scheme,directory,job_id,loss,seconds
initial,0,packed4-atc-lr0.008-beta2-0.98-seed42,0.008,0.9,0.98,42,atc,runs/packed4-atc-20m-batch128k-lr016-20260911/experiments/packed4-atc-lr0.008-beta2-0.98-seed42,2316716_0,3.6023106166067063,439.99463148298673
initial,1,packed4-atc-lr0.0024-beta2-0.95-seed42,0.0024,0.9,0.95,42,atc,runs/packed4-atc-20m-batch128k-lr016-20260911/experiments/packed4-atc-lr0.0024-beta2-0.95-seed42,2316717_1,3.668551664657166,437.5634840779967
initial,2,packed4-atc-lr0.0024-beta2-0.95-seed43,0.0024,0.9,0.95,43,atc,runs/packed4-atc-20m-batch128k-lr016-20260911/experiments/packed4-atc-lr0.0024-beta2-0.95-seed43,2316717_2,3.672473807723182,442.9010064040049
initial,3,packed4-atc-lr0.0024-beta2-0.95-seed44,0.0024,0.9,0.95,44,atc,runs/packed4-atc-20m-batch128k-lr016-20260911/experiments/packed4-atc-lr0.0024-beta2-0.95-seed44,2316717_3,3.6663603927601964,442.53608894000354
initial,4,packed4-atc-lr0.0024-beta2-0.98-seed42,0.0024,0.9,0.98,42,atc,runs/packed4-atc-20m-batch128k-lr016-20260911/experiments/packed4-atc-lr0.0024-beta2-0.98-seed42,2316717_4,3.6487233754346327,445.96765701600816
initial,5,packed4-atc-lr0.0024-beta2-0.98-seed43,0.0024,0.9,0.98,43,atc,runs/packed4-atc-20m-batch128k-lr016-20260911/experiments/packed4-atc-lr0.0024-beta2-0.98-seed43,2316717_5,3.6447935408069427,432.89523026393726
initial,6,packed4-atc-lr0.0024-beta2-0.98-seed44,0.0024,0.9,0.98,44,atc,runs/packed4-atc-20m-batch128k-lr016-20260911/experiments/packed4-atc-lr0.0024-beta2-0.98-seed44,2316717_6,3.6434717882830263,442.5619482861366
initial,7,packed4-atc-lr0.0024-beta2-0.99-seed42,0.0024,0.9,0.99,42,atc,runs/packed4-atc-20m-batch128k-lr016-20260911/experiments/packed4-atc-lr0.0024-beta2-0.99-seed42,2316717_7,3.63637615539024,446.880743029993
initial,8,packed4-atc-lr0.0024-beta2-0.99-seed43,0.0024,0.9,0.99,43,atc,runs/packed4-atc-20m-batch128k-lr016-20260911/experiments/packed4-atc-lr0.0024-beta2-0.99-seed43,2316717_8,3.636385361570581,447.20424664998427
initial,9,packed4-atc-lr0.0024-beta2-0.99-seed44,0.0024,0.9,0.99,44,atc,runs/packed4-atc-20m-batch128k-lr016-20260911/experiments/packed4-atc-lr0.0024-beta2-0.99-seed44,2316717_9,3.6440651899246235,447.093603999936
initial,10,packed4-atc-lr0.004-beta2-0.95-seed42,0.004,0.9,0.95,42,atc,runs/packed4-atc-20m-batch128k-lr016-20260911/experiments/packed4-atc-lr0.004-beta2-0.95-seed42,2316717_10,3.643235118212866,438.5953970529372
initial,11,packed4-atc-lr0.004-beta2-0.95-seed43,0.004,0.9,0.95,43,atc,runs/packed4-atc-20m-batch128k-lr016-20260911/experiments/packed4-atc-lr0.004-beta2-0.95-seed43,2316717_11,3.6293699512521163,444.4911925611086
initial,12,packed4-atc-lr0.004-beta2-0.95-seed44,0.004,0.9,0.95,44,atc,runs/packed4-atc-20m-batch128k-lr016-20260911/experiments/packed4-atc-lr0.004-beta2-0.95-seed44,2316717_12,3.644072414202108,445.5053603600245
initial,13,packed4-atc-lr0.004-beta2-0.98-seed42,0.004,0.9,0.98,42,atc,runs/packed4-atc-20m-batch128k-lr016-20260911/experiments/packed4-atc-lr0.004-beta2-0.98-seed42,2316717_13,3.607501137093882,443.113717730972
initial,14,packed4-atc-lr0.004-beta2-0.98-seed43,0.004,0.9,0.98,43,atc,runs/packed4-atc-20m-batch128k-lr016-20260911/experiments/packed4-atc-lr0.004-beta2-0.98-seed43,2316717_14,3.6115651653933387,440.3133668549126
initial,15,packed4-atc-lr0.004-beta2-0.98-seed44,0.004,0.9,0.98,44,atc,runs/packed4-atc-20m-batch128k-lr016-20260911/experiments/packed4-atc-lr0.004-beta2-0.98-seed44,2316717_15,3.6144892461962783,434.073191454052
initial,16,packed4-atc-lr0.004-beta2-0.99-seed42,0.004,0.9,0.99,42,atc,runs/packed4-atc-20m-batch128k-lr016-20260911/experiments/packed4-atc-lr0.004-beta2-0.99-seed42,2316717_16,3.5967322503666557,430.7581900819205
initial,17,packed4-atc-lr0.004-beta2-0.99-seed43,0.004,0.9,0.99,43,atc,runs/packed4-atc-20m-batch128k-lr016-20260911/experiments/packed4-atc-lr0.004-beta2-0.99-seed43,2316717_17,3.605096366510449,431.1644904119894
initial,18,packed4-atc-lr0.004-beta2-0.99-seed44,0.004,0.9,0.99,44,atc,runs/packed4-atc-20m-batch128k-lr016-20260911/experiments/packed4-atc-lr0.004-beta2-0.99-seed44,2316717_18,3.6075897087515627,440.898779110983
initial,19,packed4-atc-lr0.0056-beta2-0.95-seed42,0.0056,0.9,0.95,42,atc,runs/packed4-atc-20m-batch128k-lr016-20260911/experiments/packed4-atc-lr0.0056-beta2-0.95-seed42,2316717_19,3.622994233540128,429.6851372800302
initial,20,packed4-atc-lr0.0056-beta2-0.95-seed43,0.0056,0.9,0.95,43,atc,runs/packed4-atc-20m-batch128k-lr016-20260911/experiments/packed4-atc-lr0.0056-beta2-0.95-seed43,2316717_20,3.615094860403663,438.9485487159109
initial,21,packed4-atc-lr0.0056-beta2-0.95-seed44,0.0056,0.9,0.95,44,atc,runs/packed4-atc-20m-batch128k-lr016-20260911/experiments/packed4-atc-lr0.0056-beta2-0.95-seed44,2316717_21,3.627434853639914,434.6825272650458
initial,22,packed4-atc-lr0.0056-beta2-0.98-seed42,0.0056,0.9,0.98,42,atc,runs/packed4-atc-20m-batch128k-lr016-20260911/experiments/packed4-atc-lr0.0056-beta2-0.98-seed42,2316717_22,3.595724139449476,414.70344011695124
initial,23,packed4-atc-lr0.0056-beta2-0.98-seed43,0.0056,0.9,0.98,43,atc,runs/packed4-atc-20m-batch128k-lr016-20260911/experiments/packed4-atc-lr0.0056-beta2-0.98-seed43,2316717_23,3.5879094403643697,435.96943121899676
initial,24,packed4-atc-lr0.0056-beta2-0.98-seed44,0.0056,0.9,0.98,44,atc,runs/packed4-atc-20m-batch128k-lr016-20260911/experiments/packed4-atc-lr0.0056-beta2-0.98-seed44,2316717_24,3.6056860878580195,441.7312290420523
initial,25,packed4-atc-lr0.0056-beta2-0.99-seed42,0.0056,0.9,0.99,42,atc,runs/packed4-atc-20m-batch128k-lr016-20260911/experiments/packed4-atc-lr0.0056-beta2-0.99-seed42,2316717_25,3.591908325306062,435.4292826199671
initial,26,packed4-atc-lr0.0056-beta2-0.99-seed43,0.0056,0.9,0.99,43,atc,runs/packed4-atc-20m-batch128k-lr016-20260911/experiments/packed4-atc-lr0.0056-beta2-0.99-seed43,2316717_26,3.5964881009270746,440.2588768049609
initial,27,packed4-atc-lr0.0056-beta2-0.99-seed44,0.0056,0.9,0.99,44,atc,runs/packed4-atc-20m-batch128k-lr016-20260911/experiments/packed4-atc-lr0.0056-beta2-0.99-seed44,2316717_27,3.598121208327377,434.97735931198986
