campaign,index,run_id,archive,directory,job_id,lr,beta1,beta2,seed,loss,seconds
beta99,0,packed4-awc-lr0.008-beta2-0.99-seed42,runs/packed4-awc-20m-beta99-lr016-20260911,experiments/packed4-awc-lr0.008-beta2-0.99-seed42,2317541_0,0.008,0.9,0.99,42,3.615880949827964,435.4516881030286
beta99,1,packed4-awc-lr0.0024-beta2-0.99-seed42,runs/packed4-awc-20m-beta99-lr016-20260911,experiments/packed4-awc-lr0.0024-beta2-0.99-seed42,2317541_1,0.0024,0.9,0.99,42,3.6460179530710164,438.23689774703234
beta99,2,packed4-awc-lr0.0024-beta2-0.99-seed43,runs/packed4-awc-20m-beta99-lr016-20260911,experiments/packed4-awc-lr0.0024-beta2-0.99-seed43,2317541_2,0.0024,0.9,0.99,43,3.638678365235113,435.40510393097065
beta99,3,packed4-awc-lr0.0024-beta2-0.99-seed44,runs/packed4-awc-20m-beta99-lr016-20260911,experiments/packed4-awc-lr0.0024-beta2-0.99-seed44,2317541_3,0.0024,0.9,0.99,44,3.6392766866919715,431.8651431230828
beta99,4,packed4-awc-lr0.004-beta2-0.99-seed42,runs/packed4-awc-20m-beta99-lr016-20260911,experiments/packed4-awc-lr0.004-beta2-0.99-seed42,2317541_4,0.004,0.9,0.99,42,3.6067293345807334,433.1257665400626
beta99,5,packed4-awc-lr0.004-beta2-0.99-seed43,runs/packed4-awc-20m-beta99-lr016-20260911,experiments/packed4-awc-lr0.004-beta2-0.99-seed43,2317541_5,0.004,0.9,0.99,43,3.609879710312974,432.4344857370015
beta99,6,packed4-awc-lr0.004-beta2-0.99-seed44,runs/packed4-awc-20m-beta99-lr016-20260911,experiments/packed4-awc-lr0.004-beta2-0.99-seed44,2317541_6,0.004,0.9,0.99,44,3.610045046141466,435.9507406100165
beta99,7,packed4-awc-lr0.0048-beta2-0.99-seed42,runs/packed4-awc-20m-beta99-lr016-20260911,experiments/packed4-awc-lr0.0048-beta2-0.99-seed42,2317541_7,0.0048,0.9,0.99,42,3.607540185886025,431.70862981202663
beta99,8,packed4-awc-lr0.0048-beta2-0.99-seed43,runs/packed4-awc-20m-beta99-lr016-20260911,experiments/packed4-awc-lr0.0048-beta2-0.99-seed43,2317541_8,0.0048,0.9,0.99,43,3.606804841137525,432.02767185799894
beta99,9,packed4-awc-lr0.0048-beta2-0.99-seed44,runs/packed4-awc-20m-beta99-lr016-20260911,experiments/packed4-awc-lr0.0048-beta2-0.99-seed44,2317541_9,0.0048,0.9,0.99,44,3.6141099465824964,433.91120838400093
beta99,10,packed4-awc-lr0.0056-beta2-0.99-seed42,runs/packed4-awc-20m-beta99-lr016-20260911,experiments/packed4-awc-lr0.0056-beta2-0.99-seed42,2317541_10,0.0056,0.9,0.99,42,3.596142369521728,432.27982598892413
beta99,11,packed4-awc-lr0.0056-beta2-0.99-seed43,runs/packed4-awc-20m-beta99-lr016-20260911,experiments/packed4-awc-lr0.0056-beta2-0.99-seed43,2317541_11,0.0056,0.9,0.99,43,3.6106213251962562,432.14718526019715
beta99,12,packed4-awc-lr0.0056-beta2-0.99-seed44,runs/packed4-awc-20m-beta99-lr016-20260911,experiments/packed4-awc-lr0.0056-beta2-0.99-seed44,2317541_12,0.0056,0.9,0.99,44,3.606265532195382,438.8161503119918
beta99,13,packed4-awc-lr0.008-beta2-0.99-seed43,runs/packed4-awc-20m-beta99-lr016-20260911,experiments/packed4-awc-lr0.008-beta2-0.99-seed43,2317541_13,0.008,0.9,0.99,43,3.609831246202854,443.54348071699496
beta99,14,packed4-awc-lr0.008-beta2-0.99-seed44,runs/packed4-awc-20m-beta99-lr016-20260911,experiments/packed4-awc-lr0.008-beta2-0.99-seed44,2317541_14,0.008,0.9,0.99,44,3.599069250491942,442.6086816190509
beta99,15,packed4-awc-lr0.0112-beta2-0.99-seed42,runs/packed4-awc-20m-beta99-lr016-20260911,experiments/packed4-awc-lr0.0112-beta2-0.99-seed42,2317541_15,0.0112,0.9,0.99,42,3.7097515203344558,435.25048768683337
beta99,16,packed4-awc-lr0.0112-beta2-0.99-seed43,runs/packed4-awc-20m-beta99-lr016-20260911,experiments/packed4-awc-lr0.0112-beta2-0.99-seed43,2317541_16,0.0112,0.9,0.99,43,3.7564864867302328,439.11506277299486
beta99,17,packed4-awc-lr0.0112-beta2-0.99-seed44,runs/packed4-awc-20m-beta99-lr016-20260911,experiments/packed4-awc-lr0.0112-beta2-0.99-seed44,2317541_17,0.0112,0.9,0.99,44,3.740385733406258,439.05667474493384
beta99,18,packed4-awc-lr0.016-beta2-0.99-seed42,runs/packed4-awc-20m-beta99-lr016-20260911,experiments/packed4-awc-lr0.016-beta2-0.99-seed42,2317541_18,0.016,0.9,0.99,42,4.199815892085226,430.7366306509357
beta99,19,packed4-awc-lr0.016-beta2-0.99-seed43,runs/packed4-awc-20m-beta99-lr016-20260911,experiments/packed4-awc-lr0.016-beta2-0.99-seed43,2317541_19,0.016,0.9,0.99,43,4.010615861951234,436.39975431002676
beta99,20,packed4-awc-lr0.016-beta2-0.99-seed44,runs/packed4-awc-20m-beta99-lr016-20260911,experiments/packed4-awc-lr0.016-beta2-0.99-seed44,2317541_20,0.016,0.9,0.99,44,4.069868565861545,430.7000951200025
beta1_fill,0,packed4-awc-lr0.008-beta1-0.925-beta2-0.99-seed42,runs/packed4-awc-20m-beta1-fill-20260911,experiments/packed4-awc-lr0.008-beta1-0.925-beta2-0.99-seed42,2317855_0,0.008,0.925,0.99,42,3.680425856136735,446.9268776549725
beta1_fill,1,packed4-awc-lr0.008-beta1-0.925-beta2-0.99-seed43,runs/packed4-awc-20m-beta1-fill-20260911,experiments/packed4-awc-lr0.008-beta1-0.925-beta2-0.99-seed43,2317855_1,0.008,0.925,0.99,43,3.6056249141568477,437.65641836379655
beta1_fill,2,packed4-awc-lr0.008-beta1-0.925-beta2-0.99-seed44,runs/packed4-awc-20m-beta1-fill-20260911,experiments/packed4-awc-lr0.008-beta1-0.925-beta2-0.99-seed44,2317855_2,0.008,0.925,0.99,44,3.599603528388055,447.48147104203235
beta1_fill,3,packed4-awc-lr0.008-beta1-0.95-beta2-0.99-seed42,runs/packed4-awc-20m-beta1-fill-20260911,experiments/packed4-awc-lr0.008-beta1-0.95-beta2-0.99-seed42,2317855_3,0.008,0.95,0.99,42,3.589973732468213,455.26823859789874
beta1_fill,4,packed4-awc-lr0.008-beta1-0.95-beta2-0.99-seed43,runs/packed4-awc-20m-beta1-fill-20260911,experiments/packed4-awc-lr0.008-beta1-0.95-beta2-0.99-seed43,2317855_4,0.008,0.95,0.99,43,3.5969862952951,456.9021554159699
beta1_fill,5,packed4-awc-lr0.008-beta1-0.95-beta2-0.99-seed44,runs/packed4-awc-20m-beta1-fill-20260911,experiments/packed4-awc-lr0.008-beta1-0.95-beta2-0.99-seed44,2317855_5,0.008,0.95,0.99,44,3.5997156873995255,457.8241172389826
beta1_fill,6,packed4-awc-lr0.008-beta1-0.975-beta2-0.99-seed42,runs/packed4-awc-20m-beta1-fill-20260911,experiments/packed4-awc-lr0.008-beta1-0.975-beta2-0.99-seed42,2317855_6,0.008,0.975,0.99,42,3.688676795028814,439.063483431004
