campaign,lr,beta1,beta2,seeds,mean_loss,std_loss
beta1_fill,0.008,0.95,0.99,3,3.595558571720946,0.00502545693684447
beta99,0.0056,0.9,0.99,3,3.6043430756377886,0.007428453322739177
beta99,0.008,0.9,0.99,3,3.6082604821742534,0.00851520894437481
beta99,0.004,0.9,0.99,3,3.6088846970117245,0.001868428321007197
beta99,0.0048,0.9,0.99,3,3.6094849912020153,0.004022168840111848
beta1_fill,0.008,0.925,0.99,3,3.6285514328938793,0.045025338552068035
beta99,0.0024,0.9,0.99,3,3.641324334999367,0.004075786438630003
beta1_fill,0.008,0.975,0.99,3,3.667934352755304,0.021182214385287407
beta99,0.0112,0.9,0.99,3,3.7355412468236486,0.023741125893487248
beta99,0.016,0.9,0.99,3,4.0934334399660015,0.09677623840253884
