index,run_id,job_id,lr,beta1,beta2,seed,loss,seconds,training_seconds,peak_memory_bytes,directory
0,packed4-awc-noclip-lr0.0056-beta1-0.9-beta2-0.95-seed42,2341796_0,0.0056,0.9,0.95,42,3.7041138326042233,429.4870646999916,304.1717476034537,63208612864,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.0056-beta1-0.9-beta2-0.95-seed42
1,packed4-awc-noclip-lr0.0056-beta1-0.9-beta2-0.95-seed43,2341796_1,0.0056,0.9,0.95,43,3.7066826286739927,429.9854718018323,305.05974881723523,63208612864,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.0056-beta1-0.9-beta2-0.95-seed43
2,packed4-awc-noclip-lr0.0056-beta1-0.9-beta2-0.95-seed44,2341796_2,0.0056,0.9,0.95,44,3.6937339171556256,431.63506013085134,304.5139187036548,63208612864,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.0056-beta1-0.9-beta2-0.95-seed44
3,packed4-awc-noclip-lr0.0056-beta1-0.9-beta2-0.98-seed42,2341796_3,0.0056,0.9,0.98,42,3.6899800325197973,434.7946344949305,306.5121659755241,63208612864,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.0056-beta1-0.9-beta2-0.98-seed42
4,packed4-awc-noclip-lr0.0056-beta1-0.9-beta2-0.98-seed43,2341796_4,0.0056,0.9,0.98,43,3.6150332748986327,435.4175619999878,306.5406483395491,63208612864,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.0056-beta1-0.9-beta2-0.98-seed43
5,packed4-awc-noclip-lr0.0056-beta1-0.9-beta2-0.98-seed44,2341796_5,0.0056,0.9,0.98,44,3.7001994500104773,429.0548610090045,305.26723041781224,63208612864,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.0056-beta1-0.9-beta2-0.98-seed44
6,packed4-awc-noclip-lr0.0056-beta1-0.9-beta2-0.99-seed42,2341796_6,0.0056,0.9,0.99,42,3.750102472635661,431.090438021929,305.5769599082414,63208612864,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.0056-beta1-0.9-beta2-0.99-seed42
7,packed4-awc-noclip-lr0.0056-beta1-0.9-beta2-0.99-seed43,2341796_7,0.0056,0.9,0.99,43,3.7810388647709563,432.34078597906046,306.63814900047146,63208612864,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.0056-beta1-0.9-beta2-0.99-seed43
8,packed4-awc-noclip-lr0.0056-beta1-0.9-beta2-0.99-seed44,2341796_8,0.0056,0.9,0.99,44,3.595197512008627,442.1781900608912,308.97794327139854,63208612864,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.0056-beta1-0.9-beta2-0.99-seed44
9,packed4-awc-noclip-lr0.0056-beta1-0.9-beta2-0.999-seed42,2341796_9,0.0056,0.9,0.999,42,3.704067632604476,436.11866266606376,306.23734468291514,63208612864,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.0056-beta1-0.9-beta2-0.999-seed42
