index,run_id,job_id,lr,beta1,beta2,seed,loss,seconds,training_seconds,peak_memory_bytes,directory
0,packed8-awc-lr0.0056-beta1-0.9-beta2-0.95-seed42,2318595_0,0.0056,0.9,0.95,42,3.699188750721897,447.1376099829795,323.1829248180147,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.0056-beta1-0.9-beta2-0.95-seed42
1,packed8-awc-lr0.0056-beta1-0.9-beta2-0.95-seed43,2318595_1,0.0056,0.9,0.95,43,3.691173676601125,442.3784812729573,315.37831006082706,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.0056-beta1-0.9-beta2-0.95-seed43
2,packed8-awc-lr0.0056-beta1-0.9-beta2-0.95-seed44,2318595_2,0.0056,0.9,0.95,44,3.6958181165290505,454.06055211497005,323.9789155925391,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.0056-beta1-0.9-beta2-0.95-seed44
3,packed8-awc-lr0.0056-beta1-0.9-beta2-0.98-seed42,2318595_3,0.0056,0.9,0.98,42,3.6448609099430054,443.3945294750156,316.8113980520284,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.0056-beta1-0.9-beta2-0.98-seed42
4,packed8-awc-lr0.0056-beta1-0.9-beta2-0.98-seed43,2318595_4,0.0056,0.9,0.98,43,3.64395812903556,451.82967756700236,323.6641225790372,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.0056-beta1-0.9-beta2-0.98-seed43
5,packed8-awc-lr0.0056-beta1-0.9-beta2-0.98-seed44,2318595_5,0.0056,0.9,0.98,44,3.6567808667256414,450.44845317606814,326.3297918338794,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.0056-beta1-0.9-beta2-0.98-seed44
6,packed8-awc-lr0.0056-beta1-0.9-beta2-0.99-seed42,2318595_6,0.0056,0.9,0.99,42,3.6307873368117707,447.2502484539291,320.37553196703084,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.0056-beta1-0.9-beta2-0.99-seed42
7,packed8-awc-lr0.0056-beta1-0.9-beta2-0.99-seed43,2318595_7,0.0056,0.9,0.99,43,3.635656040668504,443.7898565559881,317.8804699043976,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.0056-beta1-0.9-beta2-0.99-seed43
8,packed8-awc-lr0.0056-beta1-0.9-beta2-0.99-seed44,2318595_8,0.0056,0.9,0.99,44,3.634053688120288,448.0813454319723,323.1990796290338,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.0056-beta1-0.9-beta2-0.99-seed44
9,packed8-awc-lr0.0056-beta1-0.9-beta2-0.999-seed42,2318595_9,0.0056,0.9,0.999,42,3.619930390948819,434.05150013801176,311.4167665139539,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.0056-beta1-0.9-beta2-0.999-seed42
