lr,beta1,beta2,seeds,mean_loss,std_loss
0.0056,0.95,0.999,3,3.609815764451108,0.0055232181345866846
0.008,0.95,0.999,3,3.6101207789832426,0.003780252595136578
0.01,0.95,0.999,3,3.612586642948056,0.00523863114447275
0.0112,0.925,0.99,3,3.614814913797969,0.006469404853926946
0.0056,0.925,0.999,3,3.6155852669645223,0.004953171915378356
0.01,0.95,0.99,3,3.6164930446450327,0.005409953821958658
0.008,0.925,0.99,3,3.6168536021872866,0.00804950995417835
0.008,0.925,0.999,3,3.618110033167317,0.0071214407923395374
0.008,0.95,0.99,3,3.619603372005038,0.005068705199694591
0.01,0.925,0.99,3,3.6205298644645154,0.009367678167602662
0.01,0.95,0.98,3,3.620946144457448,0.00966175447745262
0.0056,0.95,0.99,3,3.6225432271063016,0.003616071439477104
0.0112,0.95,0.99,3,3.622809339840899,0.017091046556649798
0.0056,0.925,0.99,3,3.623125546551778,0.005860277668995441
0.0056,0.9,0.999,3,3.6232348288727074,0.0031245311389025993
0.01,0.9,0.99,3,3.62373072149907,0.003186690581592862
0.008,0.9,0.999,3,3.6237854312658,0.014239347807688738
0.0112,0.95,0.98,3,3.6240875497659593,0.0022465355683540275
0.008,0.95,0.98,3,3.6295514273224927,0.00399594975120219
0.01,0.925,0.999,3,3.6300010403835743,0.005557515360757038
0.0112,0.9,0.98,3,3.6308607048665027,0.0014718432000612152
0.0112,0.925,0.98,3,3.6314950488133886,0.012256160417218503
0.0112,0.95,0.999,3,3.632872318692109,0.021452127635107673
0.008,0.925,0.98,3,3.633302566368941,0.003560872210117573
0.0056,0.9,0.99,3,3.633499021866854,0.002481292062750061
0.01,0.925,0.98,3,3.6341245621903795,0.002442661026398938
0.008,0.9,0.99,3,3.6346988096910717,0.009648111046048445
0.0056,0.95,0.98,3,3.636775127664857,0.003344820842647687
0.0112,0.9,0.999,3,3.6383335560458763,0.0036471476642084086
0.01,0.9,0.98,3,3.639248505586361,0.011187659780479786
0.0056,0.925,0.98,3,3.6407306635677124,0.006696252955041788
0.008,0.9,0.98,3,3.641496697127083,0.016444927744929252
0.0056,0.9,0.98,3,3.648533301901402,0.007156849690277969
0.01,0.9,0.999,3,3.6497517459287425,0.0227001450550498
0.01,0.975,0.999,3,3.6571417912835473,0.00606720088368454
0.0112,0.9,0.99,3,3.661406069983588,0.022119227333953335
0.008,0.95,0.95,3,3.6628508907457706,0.006362896355197031
0.01,0.975,0.99,3,3.6636850124223983,0.015993480408831064
0.0056,0.975,0.999,3,3.665290705549815,0.007835112353331775
0.0112,0.925,0.999,3,3.665368390374262,0.06065400186165294
0.008,0.975,0.999,3,3.666175045979931,0.00437795794811562
0.0112,0.975,0.999,3,3.666870490660357,0.027669642589216125
0.008,0.925,0.95,3,3.6673495548613677,0.002067066790549543
0.008,0.975,0.99,3,3.667554366582592,0.006193623809053021
0.0112,0.925,0.95,3,3.671669895538778,0.007557915022172018
0.0056,0.975,0.99,3,3.6717725222969926,0.003917885971206538
0.0112,0.95,0.95,3,3.6748553548263545,0.018216128042252287
0.0112,0.975,0.99,3,3.675831662883983,0.023009720295523537
0.0056,0.95,0.95,3,3.6761502949579814,0.0017681218735961888
0.01,0.95,0.95,3,3.677439069544271,0.011846780629068817
0.01,0.925,0.95,3,3.6793691319602617,0.006411585834129659
0.008,0.975,0.98,3,3.68042278118189,0.01046022513355418
0.01,0.975,0.98,3,3.6818351320410514,0.02589182012069925
0.0056,0.925,0.95,3,3.681981260271749,0.0013464672578424436
0.016,0.95,0.98,3,3.683340155840531,0.017136548996770314
0.0112,0.975,0.98,3,3.6867842725531275,0.01527532962057993
0.008,0.9,0.95,3,3.6881867896587806,0.0036373657699653433
0.01,0.9,0.95,3,3.690735616334136,0.0033310033441955565
0.016,0.95,0.99,3,3.6930784354299533,0.017019991564950925
0.0112,0.9,0.95,3,3.6932479726425176,0.007327376515026165
0.0056,0.975,0.98,3,3.693942125865241,0.012193670462083878
0.0056,0.9,0.95,3,3.6953935146173573,0.004024371799166616
0.016,0.925,0.99,3,3.704962756386169,0.011708235111848937
0.016,0.975,0.99,3,3.7053374836572743,0.02062276594737998
0.016,0.975,0.98,3,3.7075142838750788,0.019757282319397343
0.016,0.925,0.98,3,3.7119786018217615,0.004783480758090565
0.016,0.95,0.95,3,3.7224257444405704,0.017962210026158835
0.008,0.975,0.95,3,3.7228341604940653,0.007294208087704205
0.0056,0.975,0.95,3,3.7298507166500294,0.005455274500315505
0.016,0.975,0.95,3,3.735106864544847,0.015669946800909457
0.0112,0.975,0.95,3,3.736998562986077,0.012860350997266842
0.016,0.9,0.98,3,3.7394402353092526,0.02797993300312539
0.016,0.925,0.95,3,3.7405617352218825,0.00475748698060076
0.01,0.975,0.95,3,3.7425658766099423,0.006432142813598599
0.016,0.9,0.95,3,3.749490600613214,0.025530001228052893
0.016,0.9,0.99,3,3.7757550507446447,0.023854458464365312
0.016,0.975,0.999,3,3.806712832730158,0.038797428616031186
0.016,0.95,0.999,3,3.889271701715087,0.04511947788610641
0.016,0.925,0.999,3,4.063723797623408,0.02552074422765148
0.016,0.9,0.999,3,4.114962189055847,0.07227628379955606
