id,method,horizon,beta1,beta2,lr,mean,sd,rank,lossSeed42,lossSeed43,lossSeed44
sync-wsd-h20--0.004--0.95--0.98,sync,20,0.95,0.98,0.004,3.556698765636138,0.002044938356603904,1,3.5544962947525507,3.557062698977349,3.5585373031785137
sync-wsd-h20--0.003--0.95--0.98,sync,20,0.95,0.98,0.003,3.5607535200769647,0.0027488731045386835,2,3.558380087390087,3.560115019637252,3.563765453203556
sync-wsd-h20--0.006--0.95--0.98,sync,20,0.95,0.98,0.006,3.5632401564167995,0.0032954454595648724,3,3.559489830036192,3.564557421940719,3.565673217273487
sync-wsd-h20--0.004--0.95--0.999,sync,20,0.95,0.999,0.004,3.5671117826270273,0.0037908864570847123,4,3.5627517779599316,3.568954754386764,3.5696288155343874
sync-wsd-h20--0.004--0.95--0.9,sync,20,0.95,0.9,0.004,3.5675711783836754,0.0031766587952355013,5,3.56448257767416,3.5674018363182567,3.570829121158611
sync-wsd-h20--0.008--0.95--0.98,sync,20,0.95,0.98,0.008,3.568472040815575,0.0010330457340278056,6,3.567332756965113,3.5687355655742645,3.5693477999073466
sync-wsd-h20--0.006--0.9--0.98,sync,20,0.9,0.98,0.006,3.568825719571572,0.0045621365437968275,7,3.568652845270944,3.5643524773799378,3.573471836063833
sync-wsd-h20--0.003--0.95--0.999,sync,20,0.95,0.999,0.003,3.5691903441903174,0.0016634101556294596,8,3.56926195266135,3.5674922862088256,3.570816793700776
sync-wsd-h20--0.002--0.95--0.98,sync,20,0.95,0.98,0.002,3.569788631168317,0.005406357635826518,9,3.567208347256614,3.576001709655114,3.5661558365932238
sync-wsd-h20--0.003--0.95--0.9,sync,20,0.95,0.9,0.003,3.571310644788585,0.005112498215633976,10,3.565451243638595,3.5748634036493634,3.5736172870777962
sync-wsd-h20--0.004--0.9--0.98,sync,20,0.9,0.98,0.004,3.5713257516192685,0.00989185757714876,11,3.5599536061188073,3.5779362573653644,3.576087391373635
sync-wsd-h20--0.006--0.95--0.9,sync,20,0.95,0.9,0.006,3.5726387713741605,0.004136704168110747,12,3.569095058628378,3.577184415113812,3.571636840380292
sync-wsd-h20--0.008--0.9--0.98,sync,20,0.9,0.98,0.008,3.573613416915214,0.005794783184094161,13,3.571040624847379,3.5802491183136085,3.569550507584654
