method,horizon,tokens,epochs,steps,lrCeiling,eligibleLRs,prunedLRs,checkpointEpoch,runs
sync,20,408027136,40,3113,0.008,"[0.008, 0.006, 0.004, 0.003, 0.002]","[0.008, 0.006]",35,90
sync,40,816185344,80,6227,0.004,"[0.004, 0.003, 0.002]","[0.008, 0.006]",72,54
sync,80,1632239616,160,12453,0.004,"[0.004, 0.003, 0.002]","[0.008, 0.006, 0.004]",143,54
sync,120,2448424960,240,18680,0.003,"[0.003, 0.002]","[0.008, 0.006, 0.004]",216,36
sync,160,3264610304,320,24907,0.003,"[0.003, 0.002]","[0.008, 0.006, 0.004]",,36
awc8,20,408027136,40,3113,0.01,"[0.01, 0.008, 0.006, 0.004, 0.003, 0.002]","[0.01, 0.008]",35,108
awc8,40,816185344,80,6227,0.006,"[0.006, 0.004, 0.003, 0.002]","[0.01, 0.008]",72,72
awc8,80,1632239616,160,12453,0.006,"[0.006, 0.004, 0.003, 0.002]","[0.01, 0.008, 0.006, 0.004]",143,72
awc8,120,2448424960,240,18680,0.003,"[0.003, 0.002]","[0.01, 0.008, 0.006, 0.004]",216,36
awc8,160,3264610304,320,24907,0.003,"[0.003, 0.002]","[0.01, 0.008, 0.006, 0.004]",,36
