method,horizon,beta1,beta2,lr,mean,sd,lossSeed42,lossSeed43,lossSeed44,runnerUp,runnerUpGap,pairedRunnerSD
sync,20,0.95,0.98,0.004,3.556698765636138,0.002044938356603904,3.5544962947525507,3.557062698977349,3.5585373031785137,sync-wsd-h20--0.003--0.95--0.98,0.004054754440826702,0.0010979432181079394
sync,40,0.95,0.98,0.004,3.4528001664434735,0.003135828008909997,3.4492329075080965,3.4551217690214986,3.4540458228008246,sync-wsd-h40--0.003--0.95--0.98,0.0004894392839567274,0.00139982844596468
sync,80,0.95,0.999,0.003,3.374769685331667,0.0030796182174545766,3.371351940317979,3.3773290357226062,3.3756280799544163,sync-wsd-h80--0.002--0.95--0.999,0.0021255283968870664,0.0022102332951996866
sync,120,0.95,0.999,0.003,3.3391638713609706,0.0033778466051173125,3.3358776806003805,3.342626461286864,3.3389874721956683,sync-wsd-h120--0.002--0.95--0.999,0.0008520976518235912,0.0010921018328428878
sync,160,0.95,0.999,0.003,3.3170908548421747,0.00377307617192755,3.313441292120476,3.3209763697506856,3.316854902655363,sync-wsd-h160--0.002--0.95--0.999,0.00011372557876221379,0.0011355639421888515
awc8,20,0.95,0.999,0.006,3.593127960885607,0.004362500831615707,3.5881057930940465,3.595977846361822,3.5953002432009535,awc8-wsd-h20--0.008--0.95--0.999,0.0020907449167788528,0.011083464491863627
awc8,40,0.95,0.999,0.006,3.476281924858702,0.0026868578194084824,3.4735672746780732,3.4789400999554836,3.4763383999425486,awc8-wsd-h40--0.004--0.95--0.999,0.0021063096189055663,0.004893425668775089
awc8,80,0.95,0.999,0.003,3.395320425063012,0.004651819163651643,3.3901543558150875,3.3991775153865236,3.3966294039874243,awc8-wsd-h80--0.004--0.95--0.999,1.5214682539621549e-05,0.003932574927140894
awc8,120,0.95,0.999,0.003,3.3563471201186217,0.003995737423941051,3.351924329591714,3.359696544611667,3.357420486152484,awc8-wsd-h120--0.002--0.95--0.999,0.014521330283765455,0.0034335605712530054
awc8,160,0.95,0.999,0.003,3.332261551229621,0.0036105182492211763,3.3282830529138687,3.3353299228975146,3.3331716778774796,awc8-wsd-h160--0.002--0.95--0.999,0.012135685695703113,0.003327723453616571
