run,mode,lr,beta2,seed,status,loss,tokens,directory,recipe_identity
synchronous-lr0.0008-beta20.95-seed42,synchronous,0.0008,0.95,42,complete,3.6205963559828653,408071168,synchronous-lr0.0008-beta20.95-seed42/attempt-001,c107b3342a41a1a6becc370c4a9dc3cff8ca260c10dfd744bbb424c0e1948029
synchronous-lr0.0008-beta20.95-seed43,synchronous,0.0008,0.95,43,complete,3.6286229559975576,408071168,synchronous-lr0.0008-beta20.95-seed43/attempt-001,f9468df566ce5b44fb83dc19bf11d2e5e2f28cd77e493198a11b12af4b6fa501
synchronous-lr0.0008-beta20.95-seed44,synchronous,0.0008,0.95,44,complete,3.6244653621243863,408071168,synchronous-lr0.0008-beta20.95-seed44/attempt-001,a6cfa33edd6fef2d046c1d6574c10d6583314421558150f9f3c94b745b298c08
synchronous-lr0.0008-beta20.98-seed42,synchronous,0.0008,0.98,42,complete,3.5946254993910163,408071168,synchronous-lr0.0008-beta20.98-seed42/attempt-001,487f15aec8bb92f2f33878b3f2fef7e9ef9cc75631d2a4e0d08ec5af23de290f
synchronous-lr0.0008-beta20.98-seed43,synchronous,0.0008,0.98,43,complete,3.6087350358546626,408071168,synchronous-lr0.0008-beta20.98-seed43/attempt-001,35a761743c8201a4bc5bb33b863a2af67c0861c54b88a0b06ffbc7fdd17eefc0
synchronous-lr0.0008-beta20.98-seed44,synchronous,0.0008,0.98,44,complete,3.6064921276293216,408071168,synchronous-lr0.0008-beta20.98-seed44/attempt-001,7fdbab5e0d3fafdd31297eda4a4baeffbe6a8908dbe860f7e4b05c9f3f4a12e5
synchronous-lr0.0008-beta20.999-seed42,synchronous,0.0008,0.999,42,complete,3.5804852352393706,408071168,synchronous-lr0.0008-beta20.999-seed42/attempt-001,d5dc6f48ac04878f0bfa6f6f99e3ecbd51bb3d75233c61e1d816de97567988ae
synchronous-lr0.0008-beta20.999-seed43,synchronous,0.0008,0.999,43,complete,3.5923704600807893,408071168,synchronous-lr0.0008-beta20.999-seed43/attempt-001,9c740afe1d898fa9e8c5e316a79870b8647a692ba69e255bc66901302b3ef76b
synchronous-lr0.0008-beta20.999-seed44,synchronous,0.0008,0.999,44,complete,3.593284672863823,408071168,synchronous-lr0.0008-beta20.999-seed44/attempt-001,8e6dde5923f8bb6c08e5176a3a8648165358a77ce07634f9a05918f76f60bc76
synchronous-lr0.0010-beta20.95-seed42,synchronous,0.001,0.95,42,complete,3.6101530167983613,408071168,synchronous-lr0.0010-beta20.95-seed42/attempt-001,b5d2a52526cb7e3c54ad113721df53cc2acaeb75c22acf031ee0c77f3b14836b
synchronous-lr0.0010-beta20.95-seed43,synchronous,0.001,0.95,43,complete,3.6193169559740186,408071168,synchronous-lr0.0010-beta20.95-seed43/attempt-001,beac82fc05352e25004bf1ec958b45cd57ee309a05705f2f5b3e4b99962a0cea
synchronous-lr0.0010-beta20.95-seed44,synchronous,0.001,0.95,44,complete,3.631711632846305,408071168,synchronous-lr0.0010-beta20.95-seed44/attempt-001,cfe2f9949a270eb47f953f8034151bd15a3945058a886347f007dda8e18b2841
synchronous-lr0.0010-beta20.98-seed42,synchronous,0.001,0.98,42,complete,3.5866834201922964,408071168,synchronous-lr0.0010-beta20.98-seed42/attempt-001,79e2fa2b738af145e3ab6bb61b4077a60430934d762eab86606a7edf8a462444
synchronous-lr0.0010-beta20.98-seed43,synchronous,0.001,0.98,43,complete,3.6006640043696163,408071168,synchronous-lr0.0010-beta20.98-seed43/attempt-001,1396456adee9d34bc9c2587606bb8f06e1febda6e2dd00341ba8aa3181119b35
synchronous-lr0.0010-beta20.98-seed44,synchronous,0.001,0.98,44,complete,3.602320108306334,408071168,synchronous-lr0.0010-beta20.98-seed44/attempt-001,773ce445ef2a85f16938bfe87931158e9dc65137c8b3d48cb364a5df21817aa6
synchronous-lr0.0010-beta20.999-seed42,synchronous,0.001,0.999,42,complete,3.5744149532801073,408071168,synchronous-lr0.0010-beta20.999-seed42/attempt-001,b20b338a5c213dc4c36607312cd378b19820d227b38ee33ceae8551f2e94942d
synchronous-lr0.0010-beta20.999-seed43,synchronous,0.001,0.999,43,complete,3.5866149607697646,408071168,synchronous-lr0.0010-beta20.999-seed43/attempt-001,894e3bc0a283c9b60b7cc94427d878d1e2dd795b40683818f849a11e212c49b2
synchronous-lr0.0010-beta20.999-seed44,synchronous,0.001,0.999,44,complete,3.583402805869217,408071168,synchronous-lr0.0010-beta20.999-seed44/attempt-002,71a753ff9d766099a77d1a9ac923667de97dd533e8c7d193e33ef21e82249ad2
synchronous-lr0.0012-beta20.95-seed42,synchronous,0.0012,0.95,42,complete,3.6103474443531693,408071168,synchronous-lr0.0012-beta20.95-seed42/attempt-001,651023add8f203965865d3804d521dd3709d6ef084a8056fd32a1f67921a0968
synchronous-lr0.0012-beta20.95-seed43,synchronous,0.0012,0.95,43,complete,3.614961902779471,408071168,synchronous-lr0.0012-beta20.95-seed43/attempt-001,5a1f9e4950def24cc745108fe77a86e75a23580dbd24a4c234f456353aa2885c
synchronous-lr0.0012-beta20.95-seed44,synchronous,0.0012,0.95,44,complete,3.606145698936383,408071168,synchronous-lr0.0012-beta20.95-seed44/attempt-001,b51691796fe92b98ee380b536dc99c263a8db409819b7707e4367905614c17da
synchronous-lr0.0012-beta20.98-seed42,synchronous,0.0012,0.98,42,complete,3.5833883582280324,408071168,synchronous-lr0.0012-beta20.98-seed42/attempt-001,babd04c2c3e27c8b9021067f6b21fc252bcfc34e871eccfebd3535124f37d79e
