index,run_id,lr,beta2,seed,directory,job_id,loss,seconds
0,sync-lr0.0056-beta2-0.999-seed42,0.0056,0.999,42,experiments/sync-lr0.0056-beta2-0.999-seed42,2309169_0,3.604161738933793,400.20465396496
1,sync-lr0.0014-beta2-0.95-seed42,0.0014,0.95,42,experiments/sync-lr0.0014-beta2-0.95-seed42,2309171_1,3.636277887449773,387.5564414219698
2,sync-lr0.0014-beta2-0.95-seed43,0.0014,0.95,43,experiments/sync-lr0.0014-beta2-0.95-seed43,2309171_2,3.628163892034913,385.500117967953
3,sync-lr0.0014-beta2-0.95-seed44,0.0014,0.95,44,experiments/sync-lr0.0014-beta2-0.95-seed44,2309171_3,3.6375625961975997,414.7916536720004
4,sync-lr0.0014-beta2-0.98-seed42,0.0014,0.98,42,experiments/sync-lr0.0014-beta2-0.98-seed42,2309171_4,3.6288249244391237,413.94307978998404
5,sync-lr0.0014-beta2-0.98-seed43,0.0014,0.98,43,experiments/sync-lr0.0014-beta2-0.98-seed43,2309171_5,3.629206617306904,408.18199703400023
6,sync-lr0.0014-beta2-0.98-seed44,0.0014,0.98,44,experiments/sync-lr0.0014-beta2-0.98-seed44,2309171_6,3.623668569231974,414.92536617908627
7,sync-lr0.0014-beta2-0.999-seed42,0.0014,0.999,42,experiments/sync-lr0.0014-beta2-0.999-seed42,2309171_7,3.6217390851782545,417.69806110090576
8,sync-lr0.0014-beta2-0.999-seed43,0.0014,0.999,43,experiments/sync-lr0.0014-beta2-0.999-seed43,2309171_8,3.6457900544307087,412.21881946211215
9,sync-lr0.0014-beta2-0.999-seed44,0.0014,0.999,44,experiments/sync-lr0.0014-beta2-0.999-seed44,2309171_9,3.6441862929713045,415.7068172519794
10,sync-lr0.0028-beta2-0.95-seed42,0.0028,0.95,42,experiments/sync-lr0.0028-beta2-0.95-seed42,2309171_10,3.5872157479470483,408.36507332208566
11,sync-lr0.0028-beta2-0.95-seed43,0.0028,0.95,43,experiments/sync-lr0.0028-beta2-0.95-seed43,2309171_11,3.5763198318289677,406.25544158509
12,sync-lr0.0028-beta2-0.95-seed44,0.0028,0.95,44,experiments/sync-lr0.0028-beta2-0.95-seed44,2309171_12,3.584165378163221,410.0477051079506
13,sync-lr0.0028-beta2-0.98-seed42,0.0028,0.98,42,experiments/sync-lr0.0028-beta2-0.98-seed42,2309171_13,3.5852961626658044,406.14007804193534
14,sync-lr0.0028-beta2-0.98-seed43,0.0028,0.98,43,experiments/sync-lr0.0028-beta2-0.98-seed43,2309171_14,3.584590922902246,407.02636859798804
15,sync-lr0.0028-beta2-0.98-seed44,0.0028,0.98,44,experiments/sync-lr0.0028-beta2-0.98-seed44,2309171_15,3.5832473363710298,408.5422437239904
16,sync-lr0.0028-beta2-0.999-seed42,0.0028,0.999,42,experiments/sync-lr0.0028-beta2-0.999-seed42,2309171_16,3.593366214869782,412.79942919302266
17,sync-lr0.0028-beta2-0.999-seed43,0.0028,0.999,43,experiments/sync-lr0.0028-beta2-0.999-seed43,2309171_17,3.59718920375052,417.9461483490886
18,sync-lr0.0028-beta2-0.999-seed44,0.0028,0.999,44,experiments/sync-lr0.0028-beta2-0.999-seed44,2309171_18,3.593042210890475,425.7305402238853
19,sync-lr0.004-beta2-0.95-seed42,0.004,0.95,42,experiments/sync-lr0.004-beta2-0.95-seed42,2309171_19,3.573144072662422,430.40076340083033
20,sync-lr0.004-beta2-0.95-seed43,0.004,0.95,43,experiments/sync-lr0.004-beta2-0.95-seed43,2309171_20,3.5662502043357978,407.78216305794194
21,sync-lr0.004-beta2-0.95-seed44,0.004,0.95,44,experiments/sync-lr0.004-beta2-0.95-seed44,2309171_21,3.5678784355125663,409.87976982886903
22,sync-lr0.004-beta2-0.98-seed42,0.004,0.98,42,experiments/sync-lr0.004-beta2-0.98-seed42,2309171_22,3.5671379531597625,411.4645437739091
23,sync-lr0.004-beta2-0.98-seed43,0.004,0.98,43,experiments/sync-lr0.004-beta2-0.98-seed43,2309171_23,3.5585409775871013,408.46191829512827
24,sync-lr0.004-beta2-0.98-seed44,0.004,0.98,44,experiments/sync-lr0.004-beta2-0.98-seed44,2309171_24,3.562833245788928,406.6111799739301
25,sync-lr0.004-beta2-0.999-seed42,0.004,0.999,42,experiments/sync-lr0.004-beta2-0.999-seed42,2309171_25,3.5750732495239617,413.9834138250444
26,sync-lr0.004-beta2-0.999-seed43,0.004,0.999,43,experiments/sync-lr0.004-beta2-0.999-seed43,2309171_26,3.5742767729819813,412.47199171606917
27,sync-lr0.004-beta2-0.999-seed44,0.004,0.999,44,experiments/sync-lr0.004-beta2-0.999-seed44,2309171_27,3.5792689342394937,402.4294773499714
28,sync-lr0.0056-beta2-0.95-seed42,0.0056,0.95,42,experiments/sync-lr0.0056-beta2-0.95-seed42,2309171_28,3.5676273667514233,403.7977267259266
29,sync-lr0.0056-beta2-0.95-seed43,0.0056,0.95,43,experiments/sync-lr0.0056-beta2-0.95-seed43,2309171_29,3.5629870071201295,409.7527318808716
30,sync-lr0.0056-beta2-0.95-seed44,0.0056,0.95,44,experiments/sync-lr0.0056-beta2-0.95-seed44,2309171_30,3.5663745052897555,402.72821879805997
31,sync-lr0.0056-beta2-0.98-seed42,0.0056,0.98,42,experiments/sync-lr0.0056-beta2-0.98-seed42,2309171_31,3.5535064305116237,421.16772247699555
32,sync-lr0.0056-beta2-0.98-seed43,0.0056,0.98,43,experiments/sync-lr0.0056-beta2-0.98-seed43,2309171_32,3.5593463385898336,413.7033181160223
