index,run_id,lr,beta2,seed,directory,job_id,loss,seconds
0,packed4-lr0.008-beta2-0.999-seed42,0.008,0.999,42,experiments/packed4-lr0.008-beta2-0.999-seed42,2310341_0,3.7234530852390364,433.4303511090111
1,packed4-lr0.0024-beta2-0.95-seed42,0.0024,0.95,42,experiments/packed4-lr0.0024-beta2-0.95-seed42,2310342_1,3.676228122755323,437.28204703808296
2,packed4-lr0.0024-beta2-0.95-seed43,0.0024,0.95,43,experiments/packed4-lr0.0024-beta2-0.95-seed43,2310342_2,3.6785474637799767,438.8152441410348
3,packed4-lr0.0024-beta2-0.95-seed44,0.0024,0.95,44,experiments/packed4-lr0.0024-beta2-0.95-seed44,2310342_3,3.675365285907101,440.2194169500144
4,packed4-lr0.0024-beta2-0.98-seed42,0.0024,0.98,42,experiments/packed4-lr0.0024-beta2-0.98-seed42,2310342_4,3.6534017137247474,438.44717232405674
5,packed4-lr0.0024-beta2-0.98-seed43,0.0024,0.98,43,experiments/packed4-lr0.0024-beta2-0.98-seed43,2310342_5,3.664271708843947,451.72488235507626
6,packed4-lr0.0024-beta2-0.98-seed44,0.0024,0.98,44,experiments/packed4-lr0.0024-beta2-0.98-seed44,2310342_6,3.6577845512132185,440.76565589604434
7,packed4-lr0.0024-beta2-0.999-seed42,0.0024,0.999,42,experiments/packed4-lr0.0024-beta2-0.999-seed42,2310342_7,3.636535113497538,499.4817174329946
8,packed4-lr0.0024-beta2-0.999-seed43,0.0024,0.999,43,experiments/packed4-lr0.0024-beta2-0.999-seed43,2310342_8,3.6364947245042725,443.55365887098014
9,packed4-lr0.0024-beta2-0.999-seed44,0.0024,0.999,44,experiments/packed4-lr0.0024-beta2-0.999-seed44,2310342_9,3.640781263002101,436.9372191700386
10,packed4-lr0.0048-beta2-0.95-seed42,0.0048,0.95,42,experiments/packed4-lr0.0048-beta2-0.95-seed42,2310342_10,3.6353092164675456,439.52469458896667
11,packed4-lr0.0048-beta2-0.95-seed43,0.0048,0.95,43,experiments/packed4-lr0.0048-beta2-0.95-seed43,2310342_11,3.6344130428485744,438.5401598101016
12,packed4-lr0.0048-beta2-0.95-seed44,0.0048,0.95,44,experiments/packed4-lr0.0048-beta2-0.95-seed44,2310342_12,3.6403393667656774,441.36578296800144
13,packed4-lr0.0048-beta2-0.98-seed42,0.0048,0.98,42,experiments/packed4-lr0.0048-beta2-0.98-seed42,2310342_13,3.61230883738445,439.65322687500156
14,packed4-lr0.0048-beta2-0.98-seed43,0.0048,0.98,43,experiments/packed4-lr0.0048-beta2-0.98-seed43,2310342_14,3.613906423197653,438.4793940510135
15,packed4-lr0.0048-beta2-0.98-seed44,0.0048,0.98,44,experiments/packed4-lr0.0048-beta2-0.98-seed44,2310342_15,3.613867414507979,446.42945996811613
16,packed4-lr0.0048-beta2-0.999-seed42,0.0048,0.999,42,experiments/packed4-lr0.0048-beta2-0.999-seed42,2310342_16,3.605081771448894,436.999132436933
17,packed4-lr0.0048-beta2-0.999-seed43,0.0048,0.999,43,experiments/packed4-lr0.0048-beta2-0.999-seed43,2310342_17,3.6167947055631493,438.6877702618949
18,packed4-lr0.0048-beta2-0.999-seed44,0.0048,0.999,44,experiments/packed4-lr0.0048-beta2-0.999-seed44,2310342_18,3.6103315918782832,434.98481976403855
19,packed4-lr0.0056-beta2-0.95-seed42,0.0056,0.95,42,experiments/packed4-lr0.0056-beta2-0.95-seed42,2310342_19,3.631975330687588,445.8381514729699
20,packed4-lr0.0056-beta2-0.95-seed43,0.0056,0.95,43,experiments/packed4-lr0.0056-beta2-0.95-seed43,2310342_20,3.642912327986876,435.4225923450431
21,packed4-lr0.0056-beta2-0.95-seed44,0.0056,0.95,44,experiments/packed4-lr0.0056-beta2-0.95-seed44,2310342_21,3.6341899108092117,442.39260149304755
22,packed4-lr0.0056-beta2-0.98-seed42,0.0056,0.98,42,experiments/packed4-lr0.0056-beta2-0.98-seed42,2310342_22,3.609251321150892,444.7593327909708
23,packed4-lr0.0056-beta2-0.98-seed43,0.0056,0.98,43,experiments/packed4-lr0.0056-beta2-0.98-seed43,2310342_23,3.609599696300922,463.9110795641318
24,packed4-lr0.0056-beta2-0.98-seed44,0.0056,0.98,44,experiments/packed4-lr0.0056-beta2-0.98-seed44,2310342_24,3.5996826962317847,451.09390696696937
25,packed4-lr0.0056-beta2-0.999-seed42,0.0056,0.999,42,experiments/packed4-lr0.0056-beta2-0.999-seed42,2310342_25,3.6107921876669864,430.22740046703257
26,packed4-lr0.0056-beta2-0.999-seed43,0.0056,0.999,43,experiments/packed4-lr0.0056-beta2-0.999-seed43,2310342_26,3.609492914919798,428.88575834897347
27,packed4-lr0.0056-beta2-0.999-seed44,0.0056,0.999,44,experiments/packed4-lr0.0056-beta2-0.999-seed44,2310342_27,3.6184492175554643,744.0393318429124
28,packed4-lr0.008-beta2-0.95-seed42,0.008,0.95,42,experiments/packed4-lr0.008-beta2-0.95-seed42,2310342_28,3.615438266006561,416.57322296197526
29,packed4-lr0.008-beta2-0.95-seed43,0.008,0.95,43,experiments/packed4-lr0.008-beta2-0.95-seed43,2310342_29,3.630263153383503,416.23260863195173
30,packed4-lr0.008-beta2-0.95-seed44,0.008,0.95,44,experiments/packed4-lr0.008-beta2-0.95-seed44,2310342_30,3.6167713759402833,418.44516169908457
31,packed4-lr0.008-beta2-0.98-seed42,0.008,0.98,42,experiments/packed4-lr0.008-beta2-0.98-seed42,2310342_31,3.6007030836335767,417.4344869409688
32,packed4-lr0.008-beta2-0.98-seed43,0.008,0.98,43,experiments/packed4-lr0.008-beta2-0.98-seed43,2310342_32,3.609275129516022,428.0530204940587
33,packed4-lr0.008-beta2-0.98-seed44,0.008,0.98,44,experiments/packed4-lr0.008-beta2-0.98-seed44,2310342_33,3.5957523767688087,413.929618333932
34,packed4-lr0.008-beta2-0.999-seed43,0.008,0.999,43,experiments/packed4-lr0.008-beta2-0.999-seed43,2310342_34,3.744734024065677,424.24642883613706
35,packed4-lr0.008-beta2-0.999-seed44,0.008,0.999,44,experiments/packed4-lr0.008-beta2-0.999-seed44,2310342_35,3.627949880035921,416.43249916506466
36,packed4-lr0.0112-beta2-0.95-seed42,0.0112,0.95,42,experiments/packed4-lr0.0112-beta2-0.95-seed42,2310342_36,3.679491270028921,422.7798410409596
37,packed4-lr0.0112-beta2-0.95-seed43,0.0112,0.95,43,experiments/packed4-lr0.0112-beta2-0.95-seed43,2310342_37,3.6941092158323796,423.13896469096653
38,packed4-lr0.0112-beta2-0.95-seed44,0.0112,0.95,44,experiments/packed4-lr0.0112-beta2-0.95-seed44,2310342_38,3.6561118735829723,416.3664132060949
39,packed4-lr0.0112-beta2-0.98-seed42,0.0112,0.98,42,experiments/packed4-lr0.0112-beta2-0.98-seed42,2310342_39,3.6675003732052747,417.1561548380414
40,packed4-lr0.0112-beta2-0.98-seed43,0.0112,0.98,43,experiments/packed4-lr0.0112-beta2-0.98-seed43,2310342_40,3.701886113226706,417.1614953459939
41,packed4-lr0.0112-beta2-0.98-seed44,0.0112,0.98,44,experiments/packed4-lr0.0112-beta2-0.98-seed44,2310342_41,3.741284177890576,416.72502301994245
42,packed4-lr0.0112-beta2-0.999-seed42,0.0112,0.999,42,experiments/packed4-lr0.0112-beta2-0.999-seed42,2310342_42,3.8853861595499546,422.09886306896806
43,packed4-lr0.0112-beta2-0.999-seed43,0.0112,0.999,43,experiments/packed4-lr0.0112-beta2-0.999-seed43,2310342_43,4.146007753924175,416.2265075100586
44,packed4-lr0.0112-beta2-0.999-seed44,0.0112,0.999,44,experiments/packed4-lr0.0112-beta2-0.999-seed44,2310342_44,4.094701716434412,418.0706063590478
45,packed4-lr0.016-beta2-0.95-seed42,0.016,0.95,42,experiments/packed4-lr0.016-beta2-0.95-seed42,2310342_45,3.7806738247797003,413.6814522680361
46,packed4-lr0.016-beta2-0.95-seed43,0.016,0.95,43,experiments/packed4-lr0.016-beta2-0.95-seed43,2310342_46,3.8258502469313163,423.9133965569781
47,packed4-lr0.016-beta2-0.95-seed44,0.016,0.95,44,experiments/packed4-lr0.016-beta2-0.95-seed44,2310342_47,3.790435437075498,412.3828410609858
48,packed4-lr0.016-beta2-0.98-seed42,0.016,0.98,42,experiments/packed4-lr0.016-beta2-0.98-seed42,2310342_48,3.8102593472816224,434.96319321892224
49,packed4-lr0.016-beta2-0.98-seed43,0.016,0.98,43,experiments/packed4-lr0.016-beta2-0.98-seed43,2310342_49,3.936305829026284,429.880783578963
50,packed4-lr0.016-beta2-0.98-seed44,0.016,0.98,44,experiments/packed4-lr0.016-beta2-0.98-seed44,2310342_50,3.829416265053014,433.03598323708866
51,packed4-lr0.016-beta2-0.999-seed42,0.016,0.999,42,experiments/packed4-lr0.016-beta2-0.999-seed42,2310342_51,4.719907424835914,505.9160309571307
52,packed4-lr0.016-beta2-0.999-seed43,0.016,0.999,43,experiments/packed4-lr0.016-beta2-0.999-seed43,2310342_52,4.5999432739263675,437.79520572302863
53,packed4-lr0.016-beta2-0.999-seed44,0.016,0.999,44,experiments/packed4-lr0.016-beta2-0.999-seed44,2310342_53,4.559596323719771,436.6498493339168
54,packed4-lr0.0224-beta2-0.95-seed42,0.0224,0.95,42,experiments/packed4-lr0.0224-beta2-0.95-seed42,2310342_54,4.199943411506591,431.48655757994857
55,packed4-lr0.0224-beta2-0.95-seed43,0.0224,0.95,43,experiments/packed4-lr0.0224-beta2-0.95-seed43,2310342_55,4.320643014800076,432.8186382850399
56,packed4-lr0.0224-beta2-0.95-seed44,0.0224,0.95,44,experiments/packed4-lr0.0224-beta2-0.95-seed44,2310342_56,4.054404355059588,435.90508593502454
57,packed4-lr0.0224-beta2-0.98-seed42,0.0224,0.98,42,experiments/packed4-lr0.0224-beta2-0.98-seed42,2310342_57,4.348281548222211,431.6486239560181
58,packed4-lr0.0224-beta2-0.98-seed43,0.0224,0.98,43,experiments/packed4-lr0.0224-beta2-0.98-seed43,2310342_58,4.32134899377639,436.4346414640313
59,packed4-lr0.0224-beta2-0.98-seed44,0.0224,0.98,44,experiments/packed4-lr0.0224-beta2-0.98-seed44,2310342_59,4.62356495624995,430.58190925908275
60,packed4-lr0.0224-beta2-0.999-seed42,0.0224,0.999,42,experiments/packed4-lr0.0224-beta2-0.999-seed42,2310342_60,4.835214749294994,430.80492156895343
61,packed4-lr0.0224-beta2-0.999-seed43,0.0224,0.999,43,experiments/packed4-lr0.0224-beta2-0.999-seed43,2310342_61,4.762795170134448,446.9974173309747
62,packed4-lr0.0224-beta2-0.999-seed44,0.0224,0.999,44,experiments/packed4-lr0.0224-beta2-0.999-seed44,2310342_62,4.807778644431093,440.5250902159605
63,packed4-lr0.032-beta2-0.95-seed42,0.032,0.95,42,experiments/packed4-lr0.032-beta2-0.95-seed42,2310342_63,4.981726360452171,432.58727608504705
64,packed4-lr0.032-beta2-0.95-seed43,0.032,0.95,43,experiments/packed4-lr0.032-beta2-0.95-seed43,2310342_64,4.983979152901554,448.86195382499136
65,packed4-lr0.032-beta2-0.95-seed44,0.032,0.95,44,experiments/packed4-lr0.032-beta2-0.95-seed44,2310342_65,5.039282337479089,437.93748382804915
66,packed4-lr0.032-beta2-0.98-seed42,0.032,0.98,42,experiments/packed4-lr0.032-beta2-0.98-seed42,2310342_66,5.023526817009083,431.6139242639765
67,packed4-lr0.032-beta2-0.98-seed43,0.032,0.98,43,experiments/packed4-lr0.032-beta2-0.98-seed43,2310342_67,5.243705569993151,433.0528101120144
68,packed4-lr0.032-beta2-0.98-seed44,0.032,0.98,44,experiments/packed4-lr0.032-beta2-0.98-seed44,2310342_68,4.69000492583375,433.88276501500513
69,packed4-lr0.032-beta2-0.999-seed42,0.032,0.999,42,experiments/packed4-lr0.032-beta2-0.999-seed42,2310342_69,5.545415767546713,434.41900496708695
70,packed4-lr0.032-beta2-0.999-seed43,0.032,0.999,43,experiments/packed4-lr0.032-beta2-0.999-seed43,2310342_70,5.855303578484954,437.47622731886804
71,packed4-lr0.032-beta2-0.999-seed44,0.032,0.999,44,experiments/packed4-lr0.032-beta2-0.999-seed44,2310342_71,5.183752060357832,433.3399036169285
