lr,beta2,seeds,mean_loss,std_loss
0.008,0.98,3,3.6019101966394693,0.006841714099720442
0.0056,0.98,3,3.6061779045611995,0.005627711767953746
0.0048,0.999,3,3.610736022963442,0.005866931034894169
0.0056,0.999,3,3.6129114400474163,0.004839655175152347
0.0048,0.98,3,3.613360891696694,0.0009113145046585492
0.008,0.95,3,3.620824265110116,0.008201448311241323
0.0056,0.95,3,3.6363591898278917,0.005782197339837242
0.0048,0.95,3,3.6366872086939326,0.003194444509549944
0.0024,0.999,3,3.6379370336679706,0.002463257639091142
0.0024,0.98,3,3.658485991260638,0.00546884010352723
0.0112,0.95,3,3.6765707864814243,0.019166283484756453
0.0024,0.95,3,3.676713624147467,0.0016457058379264924
0.008,0.999,3,3.6987123297802116,0.062198977561497844
0.0112,0.98,3,3.703556888107519,0.03692026645335101
0.016,0.95,3,3.7989865029288383,0.023771155315347528
0.016,0.98,3,3.85866048045364,0.06792162388260821
0.0112,0.999,3,4.04203187663618,0.138063347351202
0.0224,0.95,3,4.191663593788752,0.13331231196398693
0.0224,0.98,3,4.43106516608285,0.1672527056074952
0.016,0.999,3,4.6264823408273505,0.08338557332805668
0.0224,0.999,3,4.801929521286845,0.036562385625326155
0.032,0.98,3,4.985745770945328,0.2787770729756797
0.032,0.95,3,5.001662616944271,0.03259909965464278
0.032,0.999,3,5.528157135463166,0.3361082499147517
