lr,beta1,beta2,seeds,mean_loss,std_loss
0.0056,0.9,0.98,3,3.6684042524763023,0.046502204884922405
0.0056,0.925,0.95,3,3.6706926929989403,0.0802066261413247
0.0056,0.925,0.99,3,3.6736590072530717,0.06650419640510342
0.008,0.925,0.99,3,3.6855740543471494,0.07108658668344553
0.0056,0.9,0.999,3,3.6940594519236347,0.05084293801457501
0.0056,0.925,0.98,3,3.69995007865848,0.025368136435890146
0.0056,0.9,0.95,3,3.7015101261446137,0.006855782084659055
0.0056,0.9,0.99,3,3.708779616471748,0.09957377129691695
0.008,0.9,0.98,3,3.73794520159022,0.07515275158291933
0.008,0.95,0.98,3,3.7475829144316393,0.00776101068007542
0.0056,0.925,0.999,3,3.748107365026911,0.06332493751685973
0.0056,0.95,0.999,3,3.750929381573582,0.10121959584145283
0.0056,0.95,0.95,3,3.7571417406306082,0.03611529555183693
0.01,0.9,0.95,3,3.7629215119708315,0.008465860821210694
0.0056,0.95,0.98,3,3.7632492711843533,0.0508274532534273
0.008,0.9,0.95,3,3.763543561095753,0.019251239594170647
0.0112,0.925,0.98,3,3.7658373381117483,0.06466239524310759
0.01,0.925,0.95,3,3.7714646914354995,0.04897653475616933
0.01,0.95,0.98,3,3.7723362818862896,0.06712338447836108
0.01,0.9,0.98,3,3.776087646709406,0.037596837816664924
0.008,0.95,0.95,3,3.7771130123731758,0.016949957129657172
0.0112,0.9,0.95,3,3.7786091404711537,0.02577429472890087
0.008,0.9,0.99,3,3.781161129003485,0.07780931427272884
0.008,0.925,0.98,3,3.7829217619092184,0.05936330760840622
0.0056,0.95,0.99,3,3.78766615038208,0.04389249679993882
0.01,0.9,0.99,3,3.791333538039277,0.05213739578525285
0.01,0.925,0.98,3,3.7949039332261956,0.028355345327160004
0.008,0.925,0.95,3,3.7966927666593566,0.04717112028604326
0.0112,0.925,0.95,3,3.800214488897266,0.025525977967434305
0.0112,0.9,0.98,3,3.8014801712877264,0.03690102118109426
0.01,0.925,0.99,3,3.8133836488252366,0.0332805174057048
0.0112,0.9,0.99,3,3.8145644192223354,0.03140297774838076
0.0056,0.975,0.99,3,3.816111263282038,0.06375893590620356
0.008,0.95,0.99,3,3.8174650256961353,0.06589491876675456
0.0112,0.925,0.99,3,3.830784577958296,0.0861278738861356
0.0112,0.95,0.98,3,3.836346826288039,0.026006993182676172
0.0056,0.975,0.98,3,3.8412877046522076,0.08576015074675986
0.01,0.95,0.95,3,3.8436614701567415,0.002418534879293475
0.01,0.95,0.99,3,3.844876618201744,0.11709125505931488
0.0112,0.95,0.95,3,3.8604384141586574,0.04870019595344797
0.0056,0.975,0.999,3,3.868248291385989,0.06717573398156432
0.008,0.975,0.99,3,3.869753073652526,0.09890354854308232
0.0112,0.95,0.99,3,3.8793190094128125,0.11401480884069541
0.01,0.975,0.99,3,3.88770853681388,0.056318940396740014
0.016,0.9,0.95,3,3.9005313181481855,0.048257287242199826
0.008,0.9,0.999,3,3.9053985519673415,0.11718341730189136
0.01,0.975,0.98,3,3.9147769582820158,0.11469179702245288
0.0112,0.975,0.98,3,3.920526709776708,0.012664576043723947
0.016,0.925,0.98,3,3.9269261012847987,0.02645748388905316
0.008,0.95,0.999,3,3.935120693458025,0.08681615108509406
0.008,0.925,0.999,3,3.935499193879811,0.1261338625264712
0.016,0.95,0.99,3,3.9416092712945567,0.13224273952303767
0.016,0.95,0.98,3,3.94176529651019,0.013379422885928909
0.0056,0.975,0.95,3,3.943636683387968,0.12966696765829896
0.016,0.95,0.95,3,3.9466470494857324,0.13726077927878558
0.016,0.925,0.95,3,3.9470669780229235,0.09628375970303969
0.0112,0.975,0.99,3,3.949028462102236,0.029780975562808946
0.016,0.9,0.98,3,3.976378920888092,0.09656649483643472
0.01,0.975,0.95,3,3.9852359556861083,0.1474323124868816
0.008,0.975,0.98,3,3.985827582701527,0.03533187057728061
0.0112,0.975,0.95,3,4.072419153333526,0.05788410171609581
0.008,0.975,0.95,3,4.073853677274112,0.026903000798738794
0.016,0.9,0.99,3,4.093293032188961,0.07133685833225407
0.01,0.925,0.999,3,4.133169827973928,0.1285699981607997
0.01,0.9,0.999,3,4.145336514468007,0.2529326742481299
0.0112,0.95,0.999,3,4.158460119950601,0.13282483405952303
0.016,0.925,0.99,3,4.196484766926102,0.19533047033493134
0.016,0.975,0.99,3,4.20901861205681,0.20132845212736958
0.008,0.975,0.999,3,4.260894052150051,0.24742010723257568
0.01,0.95,0.999,3,4.266542226751845,0.16931908553999891
0.0112,0.9,0.999,3,4.282083590953966,0.2177914696969937
0.016,0.975,0.98,3,4.285080752257089,0.08071724316555086
0.016,0.975,0.95,3,4.327913039170804,0.22160674878347392
0.0112,0.925,0.999,3,4.338885787007198,0.2723797798007531
0.01,0.975,0.999,3,4.3940802964733265,0.13940028115613784
0.016,0.95,0.999,3,4.572088816610379,0.15362244500607167
0.0112,0.975,0.999,3,4.575316398145748,0.18801106315553368
0.016,0.975,0.999,3,4.724002150240375,0.1950909092982449
0.016,0.925,0.999,3,4.75252263237042,0.24680504303148706
0.016,0.9,0.999,3,4.7937916497120305,0.25302553663276406
