lr,beta1,beta2,eight_mean,eight_std,four_mean,four_std,difference_eight_minus_four
0.0056,0.9,0.95,3.6953935146173573,0.004024371799166616,3.6363591898278917,0.005782197339837242,0.059034324789465575
0.0056,0.9,0.98,3.648533301901402,0.007156849690277969,3.6061779045611995,0.005627711767953746,0.04235539734020266
0.0056,0.9,0.99,3.633499021866854,0.002481292062750061,3.6043430756377886,0.007428453322739177,0.029155946229065588
0.0056,0.9,0.999,3.6232348288727074,0.0031245311389025993,3.6129114400474163,0.004839655175152347,0.010323388825291158
0.008,0.9,0.95,3.6881867896587806,0.0036373657699653433,3.620824265110116,0.008201448311241323,0.06736252454866465
0.008,0.9,0.98,3.641496697127083,0.016444927744929252,3.6019101966394693,0.006841714099720442,0.039586500487613474
0.008,0.9,0.99,3.6346988096910717,0.009648111046048445,3.6082604821742534,0.00851520894437481,0.026438327516818294
0.008,0.9,0.999,3.6237854312658,0.014239347807688738,3.6987123297802116,0.062198977561497844,-0.07492689851441137
0.008,0.925,0.95,3.6673495548613677,0.002067066790549543,3.612169297427642,0.008923049491508711,0.0551802574337259
0.008,0.925,0.98,3.633302566368941,0.003560872210117573,3.6041534492588116,0.0040388555315509925,0.029149117110129463
0.008,0.925,0.99,3.6168536021872866,0.00804950995417835,3.6285514328938793,0.045025338552068035,-0.011697830706592693
0.008,0.925,0.999,3.618110033167317,0.0071214407923395374,3.627432627553983,0.00833438947488974,-0.009322594386666161
0.008,0.95,0.95,3.6628508907457706,0.006362896355197031,3.6197698999670687,0.011060181625637312,0.04308099077870198
0.008,0.95,0.98,3.6295514273224927,0.00399594975120219,3.6027938435840263,0.012886724299855516,0.026757583738466373
0.008,0.95,0.99,3.619603372005038,0.005068705199694591,3.595558571720946,0.00502545693684447,0.02404480028409184
0.008,0.95,0.999,3.6101207789832426,0.003780252595136578,3.6410304984629462,0.024591695062812013,-0.030909719479703668
0.008,0.975,0.95,3.7228341604940653,0.007294208087704205,3.693063704393002,0.006425030446256643,0.029770456101063214
0.008,0.975,0.98,3.68042278118189,0.01046022513355418,3.6629060257370467,0.01009666981045401,0.017516755444843213
0.008,0.975,0.99,3.667554366582592,0.006193623809053021,3.667934352755304,0.021182214385287407,-0.0003799861727120657
0.008,0.975,0.999,3.666175045979931,0.00437795794811562,3.6734067927007263,0.014273454525728322,-0.007231746720795407
0.0112,0.9,0.95,3.6932479726425176,0.007327376515026165,3.6765707864814243,0.019166283484756453,0.01667718616109326
0.0112,0.9,0.98,3.6308607048665027,0.0014718432000612152,3.703556888107519,0.03692026645335101,-0.07269618324101623
0.0112,0.9,0.99,3.661406069983588,0.022119227333953335,3.7355412468236486,0.023741125893487248,-0.07413517684006043
0.0112,0.9,0.999,3.6383335560458763,0.0036471476642084086,4.04203187663618,0.138063347351202,-0.40369832059030397
0.016,0.9,0.95,3.749490600613214,0.025530001228052893,3.7989865029288383,0.023771155315347528,-0.049495902315624285
0.016,0.9,0.98,3.7394402353092526,0.02797993300312539,3.85866048045364,0.06792162388260821,-0.11922024514438734
0.016,0.9,0.99,3.7757550507446447,0.023854458464365312,4.0934334399660015,0.09677623840253884,-0.3176783892213568
0.016,0.9,0.999,4.114962189055847,0.07227628379955606,4.6264823408273505,0.08338557332805668,-0.5115201517715038
